Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
BO-2015-MZ733513-42046,2015-02-11 00:00:00,MZ-733513,Maria Zettner,Home Office,Belarus,Europe,Eastern Europe,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",2757.7799999999997,6,0,744.48
ES-2015-MB1808545-42049,2015-02-14 00:00:00,MB-1808545,Mick Brown,Consumer,France,Europe,Western Europe,OFF-ST-6261,Office Supplies,Storage,"Tenex Lockers, Blue",734.9399999999999,4,0.1,130.62000000000003
IN-2015-CC125507-42046,2015-02-11 00:00:00,CC-125507,Clay Cheatham,Consumer,Australia,Asia Pacific,Oceania,TEC-CO-3706,Technology,Copiers,"Canon Personal Copier, Laser",1027.728,8,0.1,182.688
MX-2015-NS1850528-42059,2015-02-24 00:00:00,NS-1850528,Neola Schneider,Consumer,Colombia,LATAM,South America,TEC-CO-6010,Technology,Copiers,"Sharp Wireless Fax, Digital",1655.9614399999998,7,0.002,13.201440000000002
IZ-2015-BD163561-42045,2015-02-10 00:00:00,BD-163561,Brian Derr,Consumer,Iraq,Asia Pacific,Western Asia,OFF-AP-4966,Office Supplies,Appliances,"KitchenAid Stove, Silver",3425.4000000000005,6,0,1233
ES-2015-RF19345120-42043,2015-02-08 00:00:00,RF-19345120,Randy Ferguson,Corporate,Spain,Europe,Southern Europe,OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red",1136.94,2,0,568.4399999999999
ES-2015-AS10090139-42062,2015-02-27 00:00:00,AS-10090139,Adam Shillingsburg,Consumer,United Kingdom,Europe,Northern Europe,OFF-AP-4745,Office Supplies,Appliances,"Hoover Stove, White",1699.83,3,0,84.96000000000001
IN-2015-AM107057-42047,2015-02-12 00:00:00,AM-107057,Anne McFarland,Consumer,Australia,Asia Pacific,Oceania,TEC-AC-4186,Technology,Accessories,"Enermax Router, Erganomic",2074.7340000000004,9,0.1,276.534
ID-2015-KH16510102-42052,2015-02-17 00:00:00,KH-16510102,Keith Herrera,Consumer,Philippines,Asia Pacific,Southeastern Asia,FUR-CH-5441,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",1046.2499999999995,3,0.25,-111.59999999999985
ES-2015-BW11110120-42046,2015-02-11 00:00:00,BW-11110120,Bart Watters,Corporate,Spain,Europe,Southern Europe,OFF-AP-3868,Office Supplies,Appliances,"Cuisinart Refrigerator, Black",2477.55,5,0,1040.5500000000002
IT-2015-JK1532545-42052,2015-02-17 00:00:00,JK-1532545,Jason Klamczynski,Corporate,France,Europe,Western Europe,FUR-BO-3904,Furniture,Bookcases,"Dania Library with Doors, Traditional",1630.7999999999997,5,0.1,17.99999999999997
IR-2015-CH207060-42048,2015-02-13 00:00:00,CH-207060,Cathy Hwang,Home Office,Iran,Asia Pacific,Southern Asia,FUR-BO-5953,Furniture,Bookcases,"Sauder Corner Shelving, Mobile",1198.5600000000002,8,0,359.52
