Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IN-2015-CS1246011-42074,2015-03-11 00:00:00,CS-1246011,Chuck Sachs,Consumer,Bangladesh,Asia Pacific,Southern Asia,FUR-BO-5760,Furniture,Bookcases,"Safco Classic Bookcase, Metal",3063.27,7,0,581.91
IT-2015-RP1927045-42081,2015-03-18 00:00:00,RP-1927045,Rachel Payne,Corporate,France,Europe,Western Europe,TEC-CO-5998,Technology,Copiers,"Sharp Fax Machine, Digital",1505.9789999999998,6,0.15,-265.76099999999997
MX-2015-BE1133582-42082,2015-03-19 00:00:00,BE-1133582,Bill Eplett,Home Office,Mexico,LATAM,Central America,OFF-AP-4745,Office Supplies,Appliances,"Hoover Stove, White",1888.7,5,0,887.6
IN-2015-CG125207-42077,2015-03-14 00:00:00,CG-125207,Claire Gute,Consumer,Australia,Asia Pacific,Oceania,OFF-AP-4745,Office Supplies,Appliances,"Hoover Stove, White",3569.643,7,0.1,674.163
ID-2015-AA10480130-42080,2015-03-17 00:00:00,AA-10480130,Andrew Allen,Consumer,Thailand,Asia Pacific,Southeastern Asia,TEC-PH-5840,Technology,Phones,"Samsung Smart Phone, Full Size",2645.376,5,0.17,-0.024000000000114596
ES-2015-FW1439545-42069,2015-03-06 00:00:00,FW-1439545,Fred Wasserman,Corporate,France,Europe,Western Europe,FUR-BO-3627,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",1114.236,3,0.1,383.706
IN-2015-AP1091559-42089,2015-03-26 00:00:00,AP-1091559,Arthur Prichep,Consumer,Indonesia,Asia Pacific,Southeastern Asia,OFF-AP-4966,Office Supplies,Appliances,"KitchenAid Stove, Silver",1421.5410000000002,3,0.17,428.12099999999987
RS-2015-RB9465108-42082,2015-03-19 00:00:00,RB-9465108,Rick Bensley,Home Office,Russia,Europe,Eastern Europe,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",2570.7599999999998,4,0,976.8000000000001
IN-2015-BE114557-42080,2015-03-17 00:00:00,BE-114557,Brad Eason,Home Office,Australia,Asia Pacific,Oceania,TEC-CO-4568,Technology,Copiers,"Hewlett Copy Machine, Color",3299.5620000000004,14,0.1,366.28199999999987
ID-2015-MG17680144-42078,2015-03-15 00:00:00,MG-17680144,Maureen Gastineau,Home Office,Vietnam,Asia Pacific,Southeastern Asia,FUR-CH-5378,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",1680.6059999999998,5,0.27,368.256
MX-2015-NF1838582-42087,2015-03-24 00:00:00,NF-1838582,Natalie Fritzler,Consumer,Mexico,LATAM,Central America,FUR-TA-3359,Furniture,Tables,"Barricks Wood Table, with Bottom Storage",2205.568,8,0.2,689.088
CA-2015-AB10165140-42094,2015-03-31 00:00:00,AB-101651404,Alan Barnes,Consumer,United States,USCA,Western US,FUR-FU-4329,Furniture,Furnishings,Flat Face Poster Frame,94.2,5,0,39.56400000000001
ES-2015-CM1219045-42094,2015-03-31 00:00:00,CM-1219045,Charlotte Melton,Consumer,France,Europe,Western Europe,FUR-BO-3889,Furniture,Bookcases,"Dania Classic Bookcase, Metal",2953.5840000000003,8,0.1,754.7039999999998
TU-2015-EH4125134-42068,2015-03-05 00:00:00,EH-4125134,Eugene Hildebrand,Home Office,Turkey,Asia Pacific,Western Asia,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",1136.6639999999998,6,0.6,-880.9559999999997
ES-2015-PW19030139-42076,2015-03-13 00:00:00,PW-19030139,Pauline Webber,Corporate,United Kingdom,Europe,Northern Europe,FUR-BO-5960,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",788.4000000000001,4,0,291.6
IN-2015-MG1814558-42087,2015-03-24 00:00:00,MG-1814558,Mike Gockenbach,Consumer,India,Asia Pacific,Southern Asia,FUR-TA-5060,Furniture,Tables,"Lesro Conference Table, with Bottom Storage",2572.74,3,0,1080.54
CA-2015-AH10210140-42072,2015-03-09 00:00:00,AH-102101404,Alan Hwang,Consumer,United States,USCA,Western US,OFF-BI-4485,Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",171.20000000000002,5,0.2,64.19999999999999
MX-2015-SG2047031-42074,2015-03-11 00:00:00,SG-2047031,Sheri Gordon,Consumer,Cuba,LATAM,Caribbean,FUR-TA-5060,Furniture,Tables,"Lesro Conference Table, with Bottom Storage",1143.44,2,0,320.16
CA-2015-AH10210140-42072,2015-03-09 00:00:00,AH-102101404,Alan Hwang,Consumer,United States,USCA,Western US,OFF-AR-5301,Office Supplies,Art,Newell 323,3.36,2,0,0.8736000000000002
MX-2015-DC1328582-42091,2015-03-28 00:00:00,DC-1328582,Debra Catini,Consumer,Mexico,LATAM,Central America,FUR-TA-5067,Furniture,Tables,"Lesro Training Table, Adjustable Height",1011.6959999999999,7,0.2,126.33599999999997
IN-2015-GW1460527-42089,2015-03-26 00:00:00,GW-1460527,Giulietta Weimer,Consumer,China,Asia Pacific,Eastern Asia,TEC-CO-6009,Technology,Copiers,"Sharp Wireless Fax, Color",3216.24,9,0,96.38999999999999
US-2015-MC1760536-42081,2015-03-18 00:00:00,MC-1760536,Matt Connell,Corporate,Dominican Republic,LATAM,Caribbean,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1212.5599999999997,5,0.2,-45.53999999999992
