Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
MX-2015-DM1295551-42103,2015-04-09 00:00:00,DM-1295551,Dario Medina,Corporate,Guatemala,LATAM,Central America,FUR-TA-5064,Furniture,Tables,"Lesro Round Table, Rectangular",3117.0879999999997,13,0.2,38.94800000000005
ES-2015-YC21895139-42097,2015-04-03 00:00:00,YC-21895139,Yoseph Carroll,Corporate,United Kingdom,Europe,Northern Europe,FUR-BO-3639,Furniture,Bookcases,"Bush Library with Doors, Metal",2291.8140000000003,7,0.1,127.13399999999993
CA-2015-AH10075140-42110,2015-04-16 00:00:00,AH-100751404,Adam Hart,Corporate,United States,USCA,Western US,FUR-FU-4756,Furniture,Furnishings,"Howard Miller 12"" Round Wall Clock",196.45,5,0,70.72199999999998
CA-2015-AH1007523-42101,2015-04-07 00:00:00,AH-1007523,Adam Hart,Corporate,Canada,USCA,Canada,OFF-ST-4257,Office Supplies,Storage,"Fellowes File Cart, Blue",137.31,1,0,54.900000000000006
IN-2015-HA1492027-42111,2015-04-17 00:00:00,HA-1492027,Helen Andreada,Consumer,China,Asia Pacific,Eastern Asia,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",1275,2,0,140.22
SG-2015-JW5220111-42108,2015-04-14 00:00:00,JW-5220111,Jane Waco,Corporate,Senegal,Africa,Western Africa,TEC-PH-3805,Technology,Phones,"Cisco Smart Phone, Cordless",3908.88,6,0,1563.48
US-2015-FM1421551-42115,2015-04-21 00:00:00,FM-1421551,Filia McAdams,Corporate,Guatemala,LATAM,Central America,TEC-CO-4577,Technology,Copiers,"Hewlett Fax Machine, High-Speed",1058.2792000000002,5,0.002,-2.1208
CA-2015-AS10090140-42096,2015-04-02 00:00:00,AS-100901402,Adam Shillingsburg,Consumer,United States,USCA,Central US,OFF-ST-4516,Office Supplies,Storage,Hanging Personal Folder File,94.19999999999999,6,0,23.550000000000004
IN-2015-BS1180059-42124,2015-04-30 00:00:00,BS-1180059,Bryan Spruell,Home Office,Indonesia,Asia Pacific,Southeastern Asia,OFF-AP-4504,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",4135.641,10,0.17,847.0409999999999
CA-2015-AS10090140-42096,2015-04-02 00:00:00,AS-100901402,Adam Shillingsburg,Consumer,United States,USCA,Central US,OFF-FA-6129,Office Supplies,Fasteners,Staples,28.4,5,0,13.347999999999997
ES-2015-AF1088545-42103,2015-04-09 00:00:00,AF-1088545,Art Foster,Consumer,France,Europe,Western Europe,OFF-ST-6049,Office Supplies,Storage,"Smead Lockers, Wire Frame",1244.1870000000001,7,0.1,-13.92300000000003
IN-2015-SV2078559-42110,2015-04-16 00:00:00,SV-2078559,Stewart Visinsky,Consumer,Indonesia,Asia Pacific,Southeastern Asia,OFF-ST-6049,Office Supplies,Storage,"Smead Lockers, Wire Frame",1803.0837,11,0.17,-130.38630000000003
IR-2015-MG768060-42109,2015-04-15 00:00:00,MG-768060,Maureen Gastineau,Home Office,Iran,Asia Pacific,Southern Asia,FUR-BO-3641,Furniture,Bookcases,"Bush Library with Doors, Pine",731.34,2,0,80.4
MX-2015-PS1897028-42109,2015-04-15 00:00:00,PS-1897028,Paul Stevenson,Home Office,Colombia,LATAM,South America,OFF-AP-3872,Office Supplies,Appliances,"Cuisinart Stove, Black",1792.4000000000003,5,0,304.7
ES-2015-BN11470139-42110,2015-04-16 00:00:00,BN-11470139,Brad Norvell,Corporate,United Kingdom,Europe,Northern Europe,FUR-BO-5778,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",996.3,5,0,119.55
CA-2015-AH10120140-42103,2015-04-09 00:00:00,AH-101201404,Adrian Hane,Home Office,United States,USCA,Western US,OFF-PA-6497,Office Supplies,Paper,Xerox 1942,195.76,4,0,97.88
CA-2015-AH10120140-42103,2015-04-09 00:00:00,AH-101201404,Adrian Hane,Home Office,United States,USCA,Western US,OFF-PA-6441,Office Supplies,Paper,Xerox 1891,244.54999999999998,5,0,114.93849999999998
