Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IN-2015-SW2027558-42125,2015-05-01 00:00:00,SW-2027558,Scott Williamson,Consumer,India,Asia Pacific,Southern Asia,TEC-MA-5007,Technology,Machines,"Konica Inkjet, White",2174.13,7,0,500.00999999999993
IN-2015-JH158207-42140,2015-05-16 00:00:00,JH-158207,John Huston,Consumer,Australia,Asia Pacific,Oceania,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",2863.35,5,0.1,858.9
CA-2015-AB10060140-42132,2015-05-08 00:00:00,AB-100601404,Adam Bellavance,Home Office,United States,USCA,Western US,TEC-AC-5109,Technology,Accessories,Logitech G600 MMO Gaming Mouse,79.99,1,0,28.7964
IN-2015-DM1334558-42146,2015-05-22 00:00:00,DM-1334558,Denise Monton,Corporate,India,Asia Pacific,Southern Asia,OFF-ST-4266,Office Supplies,Storage,"Fellowes Lockers, Blue",1865.9699999999998,9,0,802.17
CA-2015-AH10075140-42144,2015-05-20 00:00:00,AH-100751408,Adam Hart,Corporate,United States,USCA,Southern US,FUR-CH-5429,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,314.352,3,0.2,-35.36460000000001
CA-2015-AH10075140-42144,2015-05-20 00:00:00,AH-100751408,Adam Hart,Corporate,United States,USCA,Southern US,OFF-PA-6504,Office Supplies,Paper,Xerox 1949,27.888,7,0.2,10.1094
ID-2015-RD1993092-42140,2015-05-16 00:00:00,RD-1993092,Russell D'Ascenzo,Consumer,New Zealand,Asia Pacific,Oceania,OFF-AP-4961,Office Supplies,Appliances,"KitchenAid Refrigerator, Red",1900.5839999999998,6,0.4,-348.5160000000001
ES-2015-VM2168545-42140,2015-05-16 00:00:00,VM-2168545,Valerie Mitchum,Home Office,France,Europe,Western Europe,FUR-BO-5971,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",1189.242,9,0.1,250.992
IN-2015-AB101057-42153,2015-05-29 00:00:00,AB-101057,Adrian Barton,Consumer,Australia,Asia Pacific,Oceania,TEC-CO-3609,Technology,Copiers,"Brother Wireless Fax, Digital",1703.0250000000003,5,0.1,737.9250000000001
CA-2015-AB10105140-42143,2015-05-19 00:00:00,AB-101051404,Adrian Barton,Consumer,United States,USCA,Western US,TEC-PH-2879,Technology,Phones,Aastra 6757i CT Wireless VoIP phone,344.704,2,0.2,38.77919999999999
IN-2015-CC1247558-42129,2015-05-05 00:00:00,CC-1247558,Cindy Chapman,Consumer,India,Asia Pacific,Southern Asia,TEC-CO-3596,Technology,Copiers,"Brother Fax Machine, Digital",1272.72,4,0,534.48
LI-2015-NC834073-42143,2015-05-19 00:00:00,NC-834073,Nat Carroll,Consumer,Liberia,Africa,Western Africa,TEC-CO-6009,Technology,Copiers,"Sharp Wireless Fax, Color",1429.4399999999998,4,0,471.59999999999997
MX-2015-AH1007582-42139,2015-05-15 00:00:00,AH-1007582,Adam Hart,Corporate,Mexico,LATAM,Central America,OFF-AP-4503,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",2003.5199999999998,6,0,861.4800000000001
IN-2015-LT1676558-42133,2015-05-09 00:00:00,LT-1676558,Larry Tron,Consumer,India,Asia Pacific,Southern Asia,FUR-TA-5057,Furniture,Tables,"Lesro Conference Table, Adjustable Height",4298.85,5,0,300.9
ES-2015-FG1426045-42153,2015-05-29 00:00:00,FG-1426045,Frank Gastineau,Home Office,France,Europe,Western Europe,OFF-AP-3865,Office Supplies,Appliances,"Cuisinart Microwave, Red",1253.07,5,0.1,236.67
CA-2015-AB10523-42139,2015-05-15 00:00:00,AB-10523,Adrian Barton,Consumer,Canada,USCA,Canada,OFF-AR-6111,Office Supplies,Art,"Stanley Highlighters, Easy-Erase",29.94,2,0,10.74
MX-2015-JM1586582-42137,2015-05-13 00:00:00,JM-1586582,John Murray,Consumer,Mexico,LATAM,Central America,FUR-CH-4656,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1715.0559999999998,7,0.2,300.07600000000014
IN-2015-SW2027558-42125,2015-05-01 00:00:00,SW-2027558,Scott Williamson,Consumer,India,Asia Pacific,Southern Asia,FUR-CH-4545,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",723.3,5,0,122.85
