Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ID-2015-SC20380102-42165,2015-06-10 00:00:00,SC-20380102,Shahid Collister,Consumer,Philippines,Asia Pacific,Southeastern Asia,OFF-AP-3580,Office Supplies,Appliances,"Breville Stove, Silver",1433.8394999999998,3,0.15000000000000002,-84.37050000000002
IN-2015-MH1811558-42157,2015-06-02 00:00:00,MH-1811558,Mick Hernandez,Home Office,India,Asia Pacific,Southern Asia,FUR-BO-4862,Furniture,Bookcases,"Ikea Library with Doors, Pine",1094.22,3,0,328.23
MX-2015-KC1654093-42158,2015-06-03 00:00:00,KC-1654093,Kelly Collister,Consumer,Nicaragua,LATAM,Central America,OFF-AP-4507,Office Supplies,Appliances,"Hamilton Beach Stove, Silver",1810.3,5,0,54.29999999999999
IN-2015-KD1649527-42175,2015-06-20 00:00:00,KD-1649527,Keith Dawkins,Corporate,China,Asia Pacific,Eastern Asia,FUR-BO-3627,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",2063.4,5,0,123.75
IN-2015-MB173057-42179,2015-06-24 00:00:00,MB-173057,Maria Bertelson,Consumer,Australia,Asia Pacific,Oceania,FUR-BO-5948,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",5486.67,14,0.1,2316.5099999999998
ES-2015-CC1210045-42182,2015-06-27 00:00:00,CC-1210045,Chad Cunningham,Home Office,France,Europe,Western Europe,TEC-CO-3595,Technology,Copiers,"Brother Fax Machine, Color",815.9490000000001,3,0.15,287.919
GH-2015-JD606049-42172,2015-06-17 00:00:00,JD-606049,Julia Dunbar,Consumer,Ghana,Africa,Western Africa,OFF-AP-4956,Office Supplies,Appliances,"KitchenAid Microwave, Black",1239,4,0,0
ES-2015-DB13210139-42164,2015-06-09 00:00:00,DB-13210139,Dean Braden,Consumer,United Kingdom,Europe,Northern Europe,TEC-MA-4206,Technology,Machines,"Epson Printer, Red",935.1719999999999,4,0.1,114.252
MX-2015-CM1216093-42158,2015-06-03 00:00:00,CM-1216093,Charles McCrossin,Consumer,Nicaragua,LATAM,Central America,FUR-BO-5762,Furniture,Bookcases,"Safco Classic Bookcase, Pine",2344,8,0,46.88
MZ-2015-JW522087-42183,2015-06-28 00:00:00,JW-522087,Jane Waco,Corporate,Mozambique,Africa,Eastern Africa,OFF-ST-5708,Office Supplies,Storage,"Rogers Shelving, Wire Frame",856.8,14,0,265.44
MX-2015-SJ2021582-42179,2015-06-24 00:00:00,SJ-2021582,Sarah Jordon,Consumer,Mexico,LATAM,Central America,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",3045.8399999999997,7,0,1035.5800000000002
CA-2015-AB10105140-42161,2015-06-06 00:00:00,AB-101051402,Adrian Barton,Consumer,United States,USCA,Central US,TEC-PH-5089,Technology,Phones,LG G3,470.3760000000001,3,0.2,52.917299999999955
ES-2015-FH14365120-42165,2015-06-10 00:00:00,FH-14365120,Fred Hopkins,Corporate,Spain,Europe,Southern Europe,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",2295,4,0.1,459
IN-2015-MD178607-42171,2015-06-16 00:00:00,MD-178607,Michael Dominguez,Corporate,Australia,Asia Pacific,Oceania,TEC-CO-3598,Technology,Copiers,"Brother Fax Machine, Laser",2293.4880000000003,8,0.1,509.5680000000001
ES-2015-DH13675139-42182,2015-06-27 00:00:00,DH-13675139,Duane Huffman,Home Office,United Kingdom,Europe,Northern Europe,FUR-BO-5763,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",1314.45,3,0,341.73
IN-2015-SJ2021527-42182,2015-06-27 00:00:00,SJ-2021527,Sarah Jordon,Consumer,China,Asia Pacific,Eastern Asia,TEC-CO-4789,Technology,Copiers,"HP Wireless Fax, Color",1446.6,4,0,665.4000000000001
IT-2015-TS21610139-42173,2015-06-18 00:00:00,TS-21610139,Troy Staebel,Consumer,United Kingdom,Europe,Northern Europe,OFF-AP-3576,Office Supplies,Appliances,"Breville Refrigerator, Silver",1560.2399999999998,3,0,421.19999999999993
ES-2015-AF1087048-42169,2015-06-14 00:00:00,AF-1087048,Art Ferguson,Consumer,Germany,Europe,Western Europe,FUR-TA-3348,Furniture,Tables,"Barricks Round Table, Adjustable Height",2291.835,7,0.35,-1128.435
IZ-2015-EH418561-42173,2015-06-18 00:00:00,EH-418561,Evan Henry,Consumer,Iraq,Asia Pacific,Western Asia,FUR-BO-3640,Furniture,Bookcases,"Bush Library with Doors, Mobile",1467.3600000000001,4,0,469.43999999999994
ID-2015-TH212357-42175,2015-06-20 00:00:00,TH-212357,Tiffany House,Corporate,Australia,Asia Pacific,Oceania,TEC-CO-6000,Technology,Copiers,"Sharp Fax Machine, Laser",1596.5099999999998,6,0.1,-53.370000000000005
