Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ES-2015-BP1118545-42216,2015-07-31 00:00:00,BP-1118545,Ben Peterman,Corporate,France,Europe,Western Europe,OFF-AP-3575,Office Supplies,Appliances,"Breville Refrigerator, Red",1869.5879999999997,4,0.1,186.94800000000004
US-2015-NP1832582-42216,2015-07-31 00:00:00,NP-1832582,Naresj Patel,Consumer,Mexico,LATAM,Central America,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",1713.8400000000001,4,0,445.52
IN-2015-JK1612059-42204,2015-07-19 00:00:00,JK-1612059,Julie Kriz,Home Office,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-5761,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",3278.5847999999996,8,0.07,140.82479999999995
ID-2015-HG1502559-42194,2015-07-09 00:00:00,HG-1502559,Hunter Glantz,Consumer,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-5787,Furniture,Bookcases,"Safco Library with Doors, Pine",2910.0815999999995,8,0.07,125.12159999999994
UP-2015-DJ3510137-42202,2015-07-17 00:00:00,DJ-3510137,Don Jones,Corporate,Ukraine,Europe,Eastern Europe,OFF-AP-4738,Office Supplies,Appliances,"Hoover Refrigerator, White",3146.3999999999996,6,0,629.28
IN-2015-CP1234058-42202,2015-07-17 00:00:00,CP-1234058,Christine Phan,Corporate,India,Asia Pacific,Southern Asia,OFF-AP-4502,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red",4001.0399999999995,8,0,1440.24
IN-2015-AG1033059-42197,2015-07-12 00:00:00,AG-1033059,Alex Grayson,Consumer,Indonesia,Asia Pacific,Southeastern Asia,OFF-AP-3574,Office Supplies,Appliances,"Breville Refrigerator, Black",1722.2831999999999,4,0.17,539.4431999999999
IN-2015-CD1228058-42197,2015-07-12 00:00:00,CD-1228058,Christina DeMoss,Consumer,India,Asia Pacific,Southern Asia,FUR-BO-5763,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",2190.75,5,0,65.7
ES-2015-MM1792045-42199,2015-07-14 00:00:00,MM-1792045,Michael Moore,Consumer,France,Europe,Western Europe,TEC-PH-3805,Technology,Phones,"Cisco Smart Phone, Cordless",1824.144,8,0.65,-1303.0560000000005
IN-2015-BN1147027-42189,2015-07-04 00:00:00,BN-1147027,Brad Norvell,Corporate,China,Asia Pacific,Eastern Asia,OFF-AP-4964,Office Supplies,Appliances,"KitchenAid Stove, Black",3417.4800000000005,6,0,854.28
WA-2015-TB1152089-42190,2015-07-05 00:00:00,TB-1152089,Tracy Blumstein,Consumer,Namibia,Africa,Southern Africa,TEC-AC-5224,Technology,Accessories,"Memorex Router, Erganomic",1464.1200000000001,6,0,439.19999999999993
ES-2015-AH100308-42203,2015-07-18 00:00:00,AH-100308,Aaron Hawkins,Corporate,Austria,Europe,Western Europe,FUR-BO-3640,Furniture,Bookcases,"Bush Library with Doors, Mobile",1100.52,3,0,352.0799999999999
