Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IN-2015-AP1091527-42244,2015-08-28 00:00:00,AP-1091527,Arthur Prichep,Consumer,China,Asia Pacific,Eastern Asia,FUR-CH-5380,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",2761.2,6,0,110.34
IN-2015-MW182207-42221,2015-08-05 00:00:00,MW-182207,Mitch Webber,Consumer,Australia,Asia Pacific,Oceania,OFF-AP-3577,Office Supplies,Appliances,"Breville Refrigerator, White",4191.507,9,0.1,1164.2669999999998
ES-2015-MS1798048-42227,2015-08-11 00:00:00,MS-1798048,Michael Stewart,Corporate,Germany,Europe,Western Europe,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",4473.000000000001,7,0,313.11
IN-2015-LA1678059-42242,2015-08-26 00:00:00,LA-1678059,Laura Armstrong,Corporate,Indonesia,Asia Pacific,Southeastern Asia,FUR-TA-3422,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",3427.1495999999997,7,0.47000000000000003,-452.81039999999985
CA-2015-AS10045140-42218,2015-08-02 00:00:00,AS-100451402,Aaron Smayling,Corporate,United States,USCA,Central US,TEC-MA-3329,Technology,Machines,Bady BDG101FRU Card Printer,1439.982,3,0.4,-263.99670000000026
CA-2015-AS10045140-42218,2015-08-02 00:00:00,AS-100451402,Aaron Smayling,Corporate,United States,USCA,Central US,OFF-PA-6557,Office Supplies,Paper,Xerox 1998,36.28800000000001,7,0.2,12.700800000000001
ES-2015-RA1994545-42218,2015-08-02 00:00:00,RA-1994545,Ryan Akin,Consumer,France,Europe,Western Europe,FUR-BO-3624,Furniture,Bookcases,"Bush Classic Bookcase, Metal",1112.778,3,0.1,296.6580000000001
SA-2015-LC7050110-42236,2015-08-20 00:00:00,LC-7050110,Liz Carlisle,Consumer,Saudi Arabia,Asia Pacific,Western Asia,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",5211.12,8,0,1146.24
ES-2015-EH1412545-42245,2015-08-29 00:00:00,EH-1412545,Eugene Hildebrand,Home Office,France,Europe,Western Europe,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",4876.875,9,0.15,745.875
RS-2015-CR2625108-42230,2015-08-14 00:00:00,CR-2625108,Corey Roper,Home Office,Russia,Europe,Eastern Europe,FUR-BO-5950,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",3498.7200000000003,8,0,594.72
MX-2015-CC1210082-42245,2015-08-29 00:00:00,CC-1210082,Chad Cunningham,Home Office,Mexico,LATAM,Central America,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",2142.3,5,0,556.9
IN-2015-CM1193527-42244,2015-08-28 00:00:00,CM-1193527,Carlos Meador,Consumer,China,Asia Pacific,Eastern Asia,OFF-AP-3578,Office Supplies,Appliances,"Breville Stove, Black",1682.91,3,0,487.98
IT-2015-CA1231045-42223,2015-08-07 00:00:00,CA-1231045,Christine Abelman,Corporate,France,Europe,Western Europe,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",1625.2425000000003,3,0.15,-76.5675
IN-2015-AF1088558-42222,2015-08-06 00:00:00,AF-1088558,Art Foster,Consumer,India,Asia Pacific,Southern Asia,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",2550,4,0,280.44
HU-2015-SH997557-42239,2015-08-23 00:00:00,SH-997557,Sally Hughsby,Corporate,Hungary,Europe,Eastern Europe,TEC-AC-5226,Technology,Accessories,"Memorex Router, USB",3449.88,14,0,275.94
MW-2015-TS1143085-42220,2015-08-04 00:00:00,TS-1143085,Tom Stivers,Corporate,Montenegro,Europe,Southern Europe,OFF-AP-3874,Office Supplies,Appliances,"Cuisinart Stove, Silver",3234.24,6,0,970.1999999999999
IN-2015-JS1603097-42223,2015-08-07 00:00:00,JS-1603097,Joy Smith,Consumer,Pakistan,Asia Pacific,Southern Asia,FUR-CH-5775,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",2584.008,7,0.2,290.5980000000002
CA-2015-AB10105140-42220,2015-08-04 00:00:00,AB-101051402,Adrian Barton,Consumer,United States,USCA,Central US,TEC-AC-4936,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,39.816,3,0.2,7.465499999999999
ES-2015-SK1999045-42222,2015-08-06 00:00:00,SK-1999045,Sally Knutson,Consumer,France,Europe,Western Europe,TEC-AC-5896,Technology,Accessories,"SanDisk Router, Programmable",1547.1,6,0,340.2
CA-2015-AH10120140-42234,2015-08-18 00:00:00,AH-101201408,Adrian Hane,Home Office,United States,USCA,Southern US,TEC-AC-5097,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,98.16,6,0,9.815999999999995
CA-2015-AH10120140-42234,2015-08-18 00:00:00,AH-101201408,Adrian Hane,Home Office,United States,USCA,Southern US,OFF-BI-4358,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,102.93,3,0,48.377100000000006
ES-2015-ME17320139-42227,2015-08-11 00:00:00,ME-17320139,Maria Etezadi,Home Office,United Kingdom,Europe,Northern Europe,FUR-TA-5055,Furniture,Tables,"Lesro Computer Table, Fully Assembled",856.6800000000001,2,0,274.08
ES-2015-CM12235139-42221,2015-08-05 00:00:00,CM-12235139,Chris McAfee,Consumer,United Kingdom,Europe,Northern Europe,TEC-PH-3800,Technology,Phones,"Cisco Signal Booster, Cordless",1237.44,8,0,74.16
CG-2015-DK337533-42228,2015-08-12 00:00:00,DK-337533,Dennis Kane,Consumer,Democratic Republic of the Congo,Africa,Central Africa,TEC-MA-6149,Technology,Machines,"StarTech Printer, White",1018.3200000000002,4,0,183.24
ES-2015-RW1954096-42222,2015-08-06 00:00:00,RW-1954096,Rick Wilson,Corporate,Norway,Europe,Northern Europe,TEC-CO-3596,Technology,Copiers,"Brother Fax Machine, Digital",1590.9,5,0,508.94999999999993
ID-2015-BE114557-42242,2015-08-26 00:00:00,BE-114557,Brad Eason,Home Office,Australia,Asia Pacific,Oceania,FUR-CH-4656,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1653.8039999999994,6,0.4,-689.2559999999999
MX-2015-SB2018518-42245,2015-08-29 00:00:00,SB-2018518,Sarah Brown,Consumer,Brazil,LATAM,South America,OFF-AP-4966,Office Supplies,Appliances,"KitchenAid Stove, Silver",3044.8,8,0,91.2
ID-2015-HG1496597-42230,2015-08-14 00:00:00,HG-1496597,Henry Goldwyn,Corporate,Pakistan,Asia Pacific,Southern Asia,OFF-AP-4960,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",1582.1100000000001,6,0.5,-886.0500000000001
CG-2015-MH744033-42218,2015-08-02 00:00:00,MH-744033,Mark Haberlin,Corporate,Democratic Republic of the Congo,Africa,Central Africa,FUR-BO-5763,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",1752.6000000000001,4,0,455.64
CA-2015-AH10195140-42241,2015-08-25 00:00:00,AH-101951406,Alan Haines,Corporate,United States,USCA,Eastern US,OFF-BI-3983,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,24.672,4,0.2,7.71
CA-2015-AH10195140-42241,2015-08-25 00:00:00,AH-101951406,Alan Haines,Corporate,United States,USCA,Eastern US,OFF-BI-2936,Office Supplies,Binders,Acco Translucent Poly Ring Binders,3.7439999999999998,1,0.2,1.3104
IN-2015-AP1091527-42244,2015-08-28 00:00:00,AP-1091527,Arthur Prichep,Consumer,China,Asia Pacific,Eastern Asia,TEC-CO-4591,Technology,Copiers,"Hewlett Wireless Fax, Digital",759.66,2,0,311.46
IT-2015-JL1585048-42230,2015-08-14 00:00:00,JL-1585048,John Lucas,Consumer,Germany,Europe,Western Europe,TEC-CO-3710,Technology,Copiers,"Canon Wireless Fax, Laser",757.32,2,0,371.04
MX-2015-JK1562539-42245,2015-08-29 00:00:00,JK-1562539,Jim Karlsson,Consumer,El Salvador,LATAM,Central America,OFF-AP-3872,Office Supplies,Appliances,"Cuisinart Stove, Black",1075.44,3,0,182.82
ES-2015-KA1652548-42231,2015-08-15 00:00:00,KA-1652548,Kelly Andreada,Consumer,Germany,Europe,Western Europe,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",3256.95,5,0,716.4
MO-2015-EM420086-42218,2015-08-02 00:00:00,EM-420086,Evan Minnotte,Home Office,Morocco,Africa,North Africa,FUR-BO-4848,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",822.42,2,0,156.24
MX-2015-DK1298518-42217,2015-08-01 00:00:00,DK-1298518,Darren Koutras,Consumer,Brazil,LATAM,South America,TEC-MA-4206,Technology,Machines,"Epson Printer, Red",865.9,5,0,129.8
IN-2015-GM144551-42217,2015-08-01 00:00:00,GM-144551,Gary Mitchum,Home Office,Afghanistan,Asia Pacific,Southern Asia,FUR-BO-3626,Furniture,Bookcases,"Bush Classic Bookcase, Pine",2070.1499999999996,5,0,848.7
ID-2015-BV1124527-42232,2015-08-16 00:00:00,BV-1124527,Benjamin Venier,Corporate,China,Asia Pacific,Eastern Asia,FUR-CH-4530,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",1904.3999999999999,4,0,418.91999999999996
IN-2015-NR1855027-42239,2015-08-23 00:00:00,NR-1855027,Nick Radford,Consumer,China,Asia Pacific,Eastern Asia,TEC-MA-4199,Technology,Machines,"Epson Inkjet, Wireless",616.44,2,0,265.02
ES-2015-FH14275139-42229,2015-08-13 00:00:00,FH-14275139,Frank Hawley,Corporate,United Kingdom,Europe,Northern Europe,TEC-AC-4165,Technology,Accessories,"Enermax Memory Card, Programmable",811.2299999999999,7,0,153.93
