Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ES-2015-PJ1883564-42255,2015-09-08 00:00:00,PJ-1883564,Patrick Jones,Corporate,Italy,Europe,Southern Europe,OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red",7958.58,14,0,3979.0799999999995
MX-2015-VD2167039-42252,2015-09-05 00:00:00,VD-2167039,Valerie Dominguez,Consumer,El Salvador,LATAM,Central America,FUR-TA-4643,Furniture,Tables,"Hon Computer Table, Fully Assembled",2106.496,8,0.2,526.4960000000001
IN-2015-VG2180558-42273,2015-09-26 00:00:00,VG-2180558,Vivek Grady,Corporate,India,Asia Pacific,Southern Asia,FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",5667.87,13,0,2097.03
IR-2015-TG1164060-42265,2015-09-18 00:00:00,TG-1164060,Trudy Glocke,Consumer,Iran,Asia Pacific,Southern Asia,TEC-CO-3678,Technology,Copiers,"Canon Copy Machine, Color",2108.64,8,0,527.04
US-2015-AS10045140-42252,2015-09-05 00:00:00,AS-100451404,Aaron Smayling,Corporate,United States,USCA,Western US,OFF-BI-3324,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",88.07400000000001,7,0.7,-58.71599999999998
MX-2015-GM1444037-42265,2015-09-18 00:00:00,GM-1444037,Gary McGarr,Consumer,Ecuador,LATAM,South America,TEC-CO-3587,Technology,Copiers,"Brother Copy Machine, Color",1213.18876,7,0.002,508.00876000000005
SO-2015-SM10005116-42265,2015-09-18 00:00:00,SM-10005116,Sally Matthias,Consumer,Somalia,Africa,Eastern Africa,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",3834.000000000001,6,0,268.38
CA-2015-AB10060140-42264,2015-09-17 00:00:00,AB-100601406,Adam Bellavance,Home Office,United States,USCA,Eastern US,OFF-PA-6596,Office Supplies,Paper,Xerox 231,20.736000000000004,4,0.2,7.2576
ES-2015-NF1847548-42248,2015-09-01 00:00:00,NF-1847548,Neil Französisch,Home Office,Germany,Europe,Western Europe,OFF-AP-3581,Office Supplies,Appliances,"Breville Stove, White",1007.4240000000001,2,0.1,134.30399999999997
CA-2015-AH10075140-42273,2015-09-26 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,OFF-SU-3839,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,190.89600000000002,2,0.2,-42.9516
ES-2015-MS17770139-42275,2015-09-28 00:00:00,MS-17770139,Maxwell Schwartz,Consumer,United Kingdom,Europe,Northern Europe,FUR-BO-3626,Furniture,Bookcases,"Bush Classic Bookcase, Pine",2898.21,7,0,1420.02
IN-2015-GB145307-42260,2015-09-13 00:00:00,GB-145307,George Bell,Corporate,Australia,Asia Pacific,Oceania,TEC-CO-4593,Technology,Copiers,"Hewlett Wireless Fax, Laser",4448.223,13,0.1,444.4830000000002
CA-2015-AH10075140-42273,2015-09-26 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,OFF-BI-3301,Office Supplies,Binders,Avery Metallic Poly Binders,8.595000000000002,5,0.7,-6.303000000000001
MX-2015-CS1246093-42259,2015-09-12 00:00:00,CS-1246093,Chuck Sachs,Consumer,Nicaragua,LATAM,Central America,TEC-PH-5354,Technology,Phones,"Nokia Smart Phone, Cordless",2120.5,5,0,106
CA-2015-AS10090140-42264,2015-09-17 00:00:00,AS-100901406,Adam Shillingsburg,Consumer,United States,USCA,Eastern US,OFF-BI-4343,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,538.1940000000001,2,0.7,-412.6153999999999
MX-2015-RB1979518-42258,2015-09-11 00:00:00,RB-1979518,Ross Baird,Home Office,Brazil,LATAM,South America,FUR-TA-3763,Furniture,Tables,"Chromcraft Conference Table, Adjustable Height",2332.96,5,0.2,349.86
CA-2015-AS10090140-42264,2015-09-17 00:00:00,AS-100901406,Adam Shillingsburg,Consumer,United States,USCA,Eastern US,TEC-AC-5138,Technology,Accessories,Logitech Trackman Marble Mouse,71.976,3,0.2,19.793400000000005
CA-2015-AS10090140-42264,2015-09-17 00:00:00,AS-100901406,Adam Shillingsburg,Consumer,United States,USCA,Eastern US,TEC-AC-5094,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,47.984,2,0.2,14.395200000000004
IN-2015-NL1831092-42266,2015-09-19 00:00:00,NL-1831092,Nancy Lomonaco,Home Office,New Zealand,Asia Pacific,Oceania,OFF-ST-6046,Office Supplies,Storage,"Smead Lockers, Blue",1190.52,6,0,178.56
ES-2015-NF1847548-42248,2015-09-01 00:00:00,NF-1847548,Neil Französisch,Home Office,Germany,Europe,Western Europe,TEC-CO-3595,Technology,Copiers,"Brother Fax Machine, Color",1599.9,5,0,719.85
MX-2015-CS1246093-42259,2015-09-12 00:00:00,CS-1246093,Chuck Sachs,Consumer,Nicaragua,LATAM,Central America,TEC-PH-5841,Technology,Phones,"Samsung Smart Phone, VoIP",848.32,2,0,110.28
CA-2015-AS10090140-42264,2015-09-17 00:00:00,AS-100901406,Adam Shillingsburg,Consumer,United States,USCA,Eastern US,FUR-FU-4050,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",22.512000000000004,3,0.2,2.2512
IN-2015-BP11290113-42269,2015-09-22 00:00:00,BP-11290113,Beth Paige,Consumer,Singapore,Asia Pacific,Southeastern Asia,TEC-CO-4588,Technology,Copiers,"Hewlett Personal Copier, High-Speed",1282.2299999999998,9,0,12.69
CA-2015-AS10090140-42264,2015-09-17 00:00:00,AS-100901406,Adam Shillingsburg,Consumer,United States,USCA,Eastern US,OFF-BI-3473,Office Supplies,Binders,Binder Posts,3.444000000000001,2,0.7,-2.7551999999999994
ES-2015-LD1685545-42265,2015-09-18 00:00:00,LD-1685545,Lela Donovan,Corporate,France,Europe,Western Europe,FUR-BO-3639,Furniture,Bookcases,"Bush Library with Doors, Metal",1637.0100000000002,5,0.1,90.80999999999995
ID-2015-KM16720102-42255,2015-09-08 00:00:00,KM-16720102,Kunst Miller,Consumer,Philippines,Asia Pacific,Southeastern Asia,FUR-BO-3626,Furniture,Bookcases,"Bush Classic Bookcase, Pine",2152.956,8,0.35,198.6360000000002
IN-2015-CS121307-42266,2015-09-19 00:00:00,CS-121307,Chad Sievert,Consumer,Australia,Asia Pacific,Oceania,FUR-BO-5761,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",1586.4119999999998,4,0.1,17.531999999999982
CA-2015-AB10105140-42267,2015-09-20 00:00:00,AB-101051404,Adrian Barton,Consumer,United States,USCA,Western US,TEC-PH-5625,Technology,Phones,Polycom VoiceStation 500 Conference phone,471.92,2,0.2,29.49500000000002
CA-2015-AB10105140-42267,2015-09-20 00:00:00,AB-101051404,Adrian Barton,Consumer,United States,USCA,Western US,TEC-AC-6076,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,0.2,4.479200000000006
MX-2015-JB1540051-42263,2015-09-16 00:00:00,JB-1540051,Jennifer Braxton,Corporate,Guatemala,LATAM,Central America,TEC-CO-4592,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",1258.7774,5,0.002,375.77739999999994
MX-2015-SF2020039-42255,2015-09-08 00:00:00,SF-2020039,Sarah Foster,Consumer,El Salvador,LATAM,Central America,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",1274.7000000000003,3,0,293.16
CA-2015-AB10105140-42267,2015-09-20 00:00:00,AB-101051404,Adrian Barton,Consumer,United States,USCA,Western US,OFF-BI-5614,Office Supplies,Binders,Plastic Binding Combs,18.180000000000003,4,0.7,-13.938000000000002
MX-2015-CS1246093-42259,2015-09-12 00:00:00,CS-1246093,Chuck Sachs,Consumer,Nicaragua,LATAM,Central America,FUR-BO-5940,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Metal",664.56,6,0,6.6
CA-2015-AB10105140-42267,2015-09-20 00:00:00,AB-101051404,Adrian Barton,Consumer,United States,USCA,Western US,OFF-ST-3078,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.524800000000002
IN-2015-NL1831092-42266,2015-09-19 00:00:00,NL-1831092,Nancy Lomonaco,Home Office,New Zealand,Asia Pacific,Oceania,TEC-CO-3706,Technology,Copiers,"Canon Personal Copier, Laser",856.44,6,0,222.66
ES-2015-NF1847548-42248,2015-09-01 00:00:00,NF-1847548,Neil Französisch,Home Office,Germany,Europe,Western Europe,TEC-CO-4574,Technology,Copiers,"Hewlett Fax and Copier, Laser",1350.0900000000001,7,0,256.41
CA-2015-AB10150140-42252,2015-09-05 00:00:00,AB-101501406,Aimee Bixby,Consumer,United States,USCA,Eastern US,TEC-AC-6341,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",91.96,4,0,39.5428
IN-2015-HR14770102-42270,2015-09-23 00:00:00,HR-14770102,Hallie Redmond,Home Office,Philippines,Asia Pacific,Southeastern Asia,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",2841.6599999999994,8,0.25,189.42000000000007
IN-2015-PB192107-42248,2015-09-01 00:00:00,PB-192107,Phillip Breyer,Corporate,Australia,Asia Pacific,Oceania,OFF-AP-4738,Office Supplies,Appliances,"Hoover Refrigerator, White",1887.84,4,0.1,0
IN-2015-MR175457-42263,2015-09-16 00:00:00,MR-175457,Mathew Reese,Home Office,Australia,Asia Pacific,Oceania,FUR-CH-4656,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1837.5599999999995,4,0,275.52
CA-2015-AB10165140-42263,2015-09-16 00:00:00,AB-101651408,Alan Barnes,Consumer,United States,USCA,Southern US,OFF-PA-6443,Office Supplies,Paper,Xerox 1893,163.96,5,0.2,59.4355
ES-2015-HD1478548-42271,2015-09-24 00:00:00,HD-1478548,Harold Dahlen,Home Office,Germany,Europe,Western Europe,FUR-BO-3903,Furniture,Bookcases,"Dania Library with Doors, Pine",1964.25,6,0.1,21.689999999999998
ES-2015-ME1732064-42253,2015-09-06 00:00:00,ME-1732064,Maria Etezadi,Home Office,Italy,Europe,Southern Europe,FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",1307.97,3,0,536.22
IT-2015-SW2027564-42277,2015-09-30 00:00:00,SW-2027564,Scott Williamson,Consumer,Italy,Europe,Southern Europe,TEC-PH-5841,Technology,Phones,"Samsung Smart Phone, VoIP",1145.232,3,0.4,-706.248
IN-2015-VG2180558-42273,2015-09-26 00:00:00,VG-2180558,Vivek Grady,Corporate,India,Asia Pacific,Southern Asia,FUR-BO-3889,Furniture,Bookcases,"Dania Classic Bookcase, Metal",2871.54,7,0,57.33
ES-2015-BG1103564-42251,2015-09-04 00:00:00,BG-1103564,Barry Gonzalez,Consumer,Italy,Europe,Southern Europe,FUR-BO-4861,Furniture,Bookcases,"Ikea Library with Doors, Mobile",2927.2799999999997,8,0,146.16
IT-2015-MC1784545-42249,2015-09-02 00:00:00,MC-1784545,Michael Chen,Consumer,France,Europe,Western Europe,OFF-ST-4078,Office Supplies,Storage,"Eldon Lockers, Blue",1068.714,6,0.1,-0.12600000000000477
EZ-2015-AG27032-42249,2015-09-02 00:00:00,AG-27032,Alejandro Grove,Consumer,Czech Republic,Europe,Eastern Europe,FUR-CH-4655,Furniture,Chairs,"Hon Executive Leather Armchair, Black",457.1399999999999,1,0,169.14000000000001
IT-2015-FM1421545-42271,2015-09-24 00:00:00,FM-1421545,Filia McAdams,Corporate,France,Europe,Western Europe,OFF-AP-3570,Office Supplies,Appliances,"Breville Microwave, Black",1355.13,5,0.1,-60.269999999999996
CA-2015-AH10210140-42250,2015-09-03 00:00:00,AH-102101408,Alan Hwang,Consumer,United States,USCA,Southern US,OFF-BI-4338,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,1577.94,3,0,757.4112
ES-2015-LW1682545-42258,2015-09-11 00:00:00,LW-1682545,Laurel Workman,Corporate,France,Europe,Western Europe,FUR-TA-3350,Furniture,Tables,"Barricks Round Table, Rectangular",1622.0100000000002,5,0.35,-623.94
MO-2015-PO919586-42264,2015-09-17 00:00:00,PO-919586,Phillina Ober,Home Office,Morocco,Africa,North Africa,TEC-CO-3707,Technology,Copiers,"Canon Wireless Fax, Color",2280.6000000000004,6,0,136.79999999999998
ES-2015-KB1658548-42276,2015-09-29 00:00:00,KB-1658548,Ken Black,Corporate,Germany,Europe,Western Europe,TEC-MA-4207,Technology,Machines,"Epson Printer, White",2088.2400000000002,8,0,83.52
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,FUR-BO-4391,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1292.94,3,0,77.57639999999992
MX-2015-JE1574531-42255,2015-09-08 00:00:00,JE-1574531,Joel Eaton,Consumer,Cuba,LATAM,Caribbean,FUR-TA-3357,Furniture,Tables,"Barricks Wood Table, Fully Assembled",2419.2,7,0,411.18
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-PA-4465,Office Supplies,Paper,Green Bar Computer Printout Paper,164.88,3,0,80.7912
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-ST-5239,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",261.74,2,0,65.435
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-BI-4356,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",25.584000000000003,2,0.2,8.9544
MX-2015-CM1193531-42264,2015-09-17 00:00:00,CM-1193531,Carlos Meador,Consumer,Cuba,LATAM,Caribbean,OFF-AP-4505,Office Supplies,Appliances,"Hamilton Beach Stove, Black",722.36,2,0,50.56000000000001
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-BI-2925,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",11.784,3,0.2,4.271699999999999
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-BI-3302,Office Supplies,Binders,Avery Non-Stick Binders,10.776000000000002,3,0.2,3.502199999999999
CA-2015-AS10225140-42265,2015-09-18 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-LA-3236,Office Supplies,Labels,Avery 514,14.399999999999999,5,0,7.056
ES-2015-AW10930139-42251,2015-09-04 00:00:00,AW-10930139,Arthur Wiediger,Home Office,United Kingdom,Europe,Northern Europe,FUR-BO-5745,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",2019.6000000000001,12,0,706.6800000000001
IN-2015-JD161507-42251,2015-09-04 00:00:00,JD-161507,Justin Deggeller,Corporate,Australia,Asia Pacific,Oceania,FUR-CH-4532,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",1284.822,3,0.1,199.78200000000004
MX-2015-KE1642031-42252,2015-09-05 00:00:00,KE-1642031,Katrina Edelman,Corporate,Cuba,LATAM,Caribbean,TEC-CO-4586,Technology,Copiers,"Hewlett Personal Copier, Color",775.56576,8,0.002,83.88575999999999
ES-2015-SJ202158-42269,2015-09-22 00:00:00,SJ-202158,Sarah Jordon,Consumer,Austria,Europe,Western Europe,OFF-AR-3449,Office Supplies,Art,"BIC Canvas, Fluorescent",439.68,8,0,153.84
ES-2015-JH1582045-42256,2015-09-09 00:00:00,JH-1582045,John Huston,Consumer,France,Europe,Western Europe,TEC-CO-4568,Technology,Copiers,"Hewlett Copy Machine, Color",676.0304999999998,3,0.15,151.06050000000005
MX-2015-NC1862531-42262,2015-09-15 00:00:00,NC-1862531,Noah Childs,Corporate,Cuba,LATAM,Caribbean,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",858.64,2,0,171.72
ES-2015-KM1637548-42259,2015-09-12 00:00:00,KM-1637548,Katherine Murray,Home Office,Germany,Europe,Western Europe,TEC-MA-5547,Technology,Machines,"Panasonic Inkjet, Red",927.72,3,0,259.74
IT-2015-KB1640562-42274,2015-09-27 00:00:00,KB-1640562,Katrina Bavinger,Home Office,Ireland,Europe,Northern Europe,OFF-AP-4733,Office Supplies,Appliances,"Hoover Microwave, White",766.9499999999999,5,0.5,-352.79999999999995
IN-2015-EM14200102-42250,2015-09-03 00:00:00,EM-14200102,Evan Minnotte,Home Office,Philippines,Asia Pacific,Southeastern Asia,FUR-CH-5442,Furniture,Chairs,"Office Star Executive Leather Armchair, Black",2804.58,8,0.25,822.6600000000001
IN-2015-BE1133527-42276,2015-09-29 00:00:00,BE-1133527,Bill Eplett,Home Office,China,Asia Pacific,Eastern Asia,TEC-CO-4770,Technology,Copiers,"HP Fax and Copier, Digital",2415.42,14,0,1134.8400000000001
IR-2015-JF529560-42260,2015-09-13 00:00:00,JF-529560,Jason Fortune-,Consumer,Iran,Asia Pacific,Southern Asia,TEC-CO-6008,Technology,Copiers,"Sharp Personal Copier, Laser",960,8,0,57.599999999999994
MO-2015-PO919586-42264,2015-09-17 00:00:00,PO-919586,Phillina Ober,Home Office,Morocco,Africa,North Africa,FUR-TA-5060,Furniture,Tables,"Lesro Conference Table, with Bottom Storage",1715.1599999999999,2,0,377.28000000000003
CA-2015-AG10300140-42251,2015-09-04 00:00:00,AG-103001404,Aleksandra Gannaway,Corporate,United States,USCA,Western US,OFF-AR-5639,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5.96,2,0,1.6688
TZ-2015-TT11220129-42252,2015-09-05 00:00:00,TT-11220129,Thomas Thornton,Consumer,Tanzania,Africa,Eastern Africa,OFF-AP-4960,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",1054.74,2,0,379.68
MX-2015-GM1444037-42265,2015-09-18 00:00:00,GM-1444037,Gary McGarr,Consumer,Ecuador,LATAM,South America,TEC-CO-3588,Technology,Copiers,"Brother Copy Machine, High-Speed",698.04112,4,0.002,131.48111999999998
CA-2015-AR10345140-42256,2015-09-09 00:00:00,AR-103451402,Alex Russell,Corporate,United States,USCA,Central US,TEC-AC-5198,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,85.2,6,0.2,20.234999999999996
CA-2015-AR10345140-42258,2015-09-11 00:00:00,AR-103451406,Alex Russell,Corporate,United States,USCA,Eastern US,OFF-AR-4010,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils",14.88,2,0,3.7200000000000006
ES-2015-MF1825045-42249,2015-09-02 00:00:00,MF-1825045,Monica Federle,Corporate,France,Europe,Western Europe,FUR-BO-5785,Furniture,Bookcases,"Safco Library with Doors, Metal",2452.275,7,0.1,190.57500000000005
MX-2015-MA1756037-42266,2015-09-19 00:00:00,MA-1756037,Matt Abelman,Home Office,Ecuador,LATAM,South America,TEC-CO-4766,Technology,Copiers,"HP Copy Machine, High-Speed",972.8104799999999,6,0.002,36.930479999999996
IN-2015-RF1984058-42273,2015-09-26 00:00:00,RF-1984058,Roy Französisch,Consumer,India,Asia Pacific,Southern Asia,FUR-CH-5413,Furniture,Chairs,"Novimex Swivel Stool, Red",1315.68,8,0,328.79999999999995
ES-2015-CV12805139-42251,2015-09-04 00:00:00,CV-12805139,Cynthia Voltz,Corporate,United Kingdom,Europe,Northern Europe,TEC-PH-5340,Technology,Phones,"Nokia Headset, Full Size",520.8,7,0,10.29
IT-2015-KC16675139-42263,2015-09-16 00:00:00,KC-16675139,Kimberly Carter,Corporate,United Kingdom,Europe,Northern Europe,OFF-ST-4079,Office Supplies,Storage,"Eldon Lockers, Industrial",1388.73,7,0,680.3999999999999
US-2015-AA10375140-42255,2015-09-08 00:00:00,AA-103751406,Allen Armold,Consumer,United States,USCA,Eastern US,OFF-PA-6461,Office Supplies,Paper,Xerox 191,39.96,2,0,18.7812
US-2015-AA10375140-42255,2015-09-08 00:00:00,AA-103751406,Allen Armold,Consumer,United States,USCA,Eastern US,OFF-PA-3328,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,16.9,5,0,7.773999999999999
SI-2015-SM10005115-42252,2015-09-05 00:00:00,SM-10005115,Sally Matthias,Consumer,Slovenia,Europe,Southern Europe,FUR-BO-5780,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",1180.44,6,0,519.3000000000001
CA-2015-AG10390140-42255,2015-09-08 00:00:00,AG-103901404,Allen Goldenen,Consumer,United States,USCA,Western US,FUR-FU-3830,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",19.76,4,0,8.2992
IT-2015-KB1640562-42274,2015-09-27 00:00:00,KB-1640562,Katrina Bavinger,Home Office,Ireland,Europe,Northern Europe,TEC-CO-5995,Technology,Copiers,"Sharp Fax and Copier, High-Speed",583.8,7,0.5,-443.72999999999996
MX-2015-TB2135518-42270,2015-09-23 00:00:00,TB-2135518,Todd Boyes,Corporate,Brazil,LATAM,South America,FUR-BO-5798,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",601.32,6,0,246.47999999999996
IN-2015-SD2048527-42259,2015-09-12 00:00:00,SD-2048527,Shirley Daniels,Home Office,China,Asia Pacific,Eastern Asia,OFF-ST-5702,Office Supplies,Storage,"Rogers Lockers, Single Width",634.9499999999999,3,0,279.36
IN-2015-SD2048527-42259,2015-09-12 00:00:00,SD-2048527,Shirley Daniels,Home Office,China,Asia Pacific,Eastern Asia,TEC-PH-3133,Technology,Phones,"Apple Headset, Full Size",447.29999999999995,6,0,174.42000000000002
IN-2015-BE1133527-42276,2015-09-29 00:00:00,BE-1133527,Bill Eplett,Home Office,China,Asia Pacific,Eastern Asia,TEC-MA-5018,Technology,Machines,"Konica Receipt Printer, Durable",1468.4400000000003,12,0,381.59999999999997
MX-2015-CS1225093-42269,2015-09-22 00:00:00,CS-1225093,Chris Selesnick,Corporate,Nicaragua,LATAM,Central America,OFF-ST-6047,Office Supplies,Storage,"Smead Lockers, Industrial",928.2,7,0,222.74
ES-2015-MW18220139-42253,2015-09-06 00:00:00,MW-18220139,Mitch Webber,Consumer,United Kingdom,Europe,Northern Europe,TEC-MA-5016,Technology,Machines,"Konica Printer, White",798.7500000000002,3,0,239.57999999999998
ES-2015-HA1490564-42264,2015-09-17 00:00:00,HA-1490564,Helen Abelman,Consumer,Italy,Europe,Southern Europe,TEC-AC-4166,Technology,Accessories,"Enermax Memory Card, USB",802.1999999999999,7,0,120.33000000000001
IN-2015-PS1904558-42272,2015-09-25 00:00:00,PS-1904558,Penelope Sewall,Home Office,India,Asia Pacific,Southern Asia,OFF-ST-6047,Office Supplies,Storage,"Smead Lockers, Industrial",596.6999999999999,3,0,83.51999999999998
IN-2015-LM1706527-42265,2015-09-18 00:00:00,LM-1706527,Liz MacKendrick,Consumer,China,Asia Pacific,Eastern Asia,TEC-CO-4775,Technology,Copiers,"HP Fax Machine, High-Speed",2086.98,7,0,145.95000000000002
ES-2015-JH1582048-42259,2015-09-12 00:00:00,JH-1582048,John Huston,Consumer,Germany,Europe,Western Europe,FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",1177.173,3,0.1,405.423
SG-2015-AJ945111-42265,2015-09-18 00:00:00,AJ-945111,Ashley Jarboe,Consumer,Burkina Faso,Africa,Western Africa,TEC-CO-5990,Technology,Copiers,"Sharp Copy Machine, Color",1926.7199999999998,8,0,712.8
ES-2015-LO1717048-42255,2015-09-08 00:00:00,LO-1717048,Lori Olson,Corporate,Germany,Europe,Western Europe,TEC-CO-4592,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",1513.56,4,0,741.5999999999999
IN-2015-MC1763566-42264,2015-09-17 00:00:00,MC-1763566,Matthew Clasen,Corporate,Japan,Asia Pacific,Eastern Asia,TEC-CO-3602,Technology,Copiers,"Brother Ink, Laser",1031.1000000000001,7,0,133.98000000000002
ID-2015-MC181007-42252,2015-09-05 00:00:00,MC-181007,Mick Crebagga,Consumer,Australia,Asia Pacific,Oceania,TEC-MA-5572,Technology,Machines,"Panasonic Printer, Red",949.1040000000002,4,0.1,-105.45600000000002
IN-2015-MC1784527-42249,2015-09-02 00:00:00,MC-1784527,Michael Chen,Consumer,China,Asia Pacific,Eastern Asia,TEC-PH-5267,Technology,Phones,"Motorola Smart Phone, Cordless",1285.56,2,0,51.42
ES-2015-CV12805139-42251,2015-09-04 00:00:00,CV-12805139,Cynthia Voltz,Corporate,United Kingdom,Europe,Northern Europe,OFF-ST-4081,Office Supplies,Storage,"Eldon Lockers, Wire Frame",590.9399999999999,3,0,118.17
ES-2015-RA1994548-42249,2015-09-02 00:00:00,RA-1994548,Ryan Akin,Consumer,Germany,Europe,Western Europe,FUR-TA-5057,Furniture,Tables,"Lesro Conference Table, Adjustable Height",1117.701,2,0.35,206.30100000000004
EG-2015-CR273038-42266,2015-09-19 00:00:00,CR-273038,Craig Reiter,Consumer,Egypt,Africa,North Africa,TEC-AC-5205,Technology,Accessories,"Memorex Memory Card, Programmable",415.0799999999999,4,0,58.08
IT-2015-SR2042548-42264,2015-09-17 00:00:00,SR-2042548,Sharelle Roach,Home Office,Germany,Europe,Western Europe,FUR-BO-3891,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1854.495,5,0.1,432.64499999999987
MX-2015-VG2180518-42265,2015-09-18 00:00:00,VG-2180518,Vivek Grady,Corporate,Brazil,LATAM,South America,TEC-PH-5358,Technology,Phones,"Nokia Speaker Phone, Full Size",580.7199999999999,7,0,40.6
IN-2015-GM1445558-42273,2015-09-26 00:00:00,GM-1445558,Gary Mitchum,Home Office,India,Asia Pacific,Southern Asia,FUR-BO-3630,Furniture,Bookcases,"Bush Corner Shelving, Pine",877.38,7,0,394.80000000000007
CA-2015-AC10615140-42250,2015-09-03 00:00:00,AC-106151406,Ann Chong,Corporate,United States,USCA,Eastern US,FUR-CH-4398,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1282.41,5,0.1,213.735
CA-2015-AC10615140-42250,2015-09-03 00:00:00,AC-106151406,Ann Chong,Corporate,United States,USCA,Eastern US,FUR-TA-3619,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,254.52599999999998,1,0.4,-93.3262
CA-2015-AC10615140-42250,2015-09-03 00:00:00,AC-106151406,Ann Chong,Corporate,United States,USCA,Eastern US,TEC-AC-6352,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,238,2,0,38.08000000000001
CA-2015-AC10615140-42250,2015-09-03 00:00:00,AC-106151406,Ann Chong,Corporate,United States,USCA,Eastern US,TEC-AC-6076,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,167.97,3,0,40.31280000000001
IN-2015-SR207407-42276,2015-09-29 00:00:00,SR-207407,Steven Roelle,Home Office,Australia,Asia Pacific,Oceania,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",848.0700000000002,3,0.1,310.95
CA-2015-AC10615140-42250,2015-09-03 00:00:00,AC-106151406,Ann Chong,Corporate,United States,USCA,Eastern US,TEC-PH-3812,Technology,Phones,Cisco SPA508G,197.96999999999997,3,0,57.41129999999999
