Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
MO-2015-DP310586-42305,2015-10-28 00:00:00,DP-310586,Dave Poirier,Corporate,Morocco,Africa,North Africa,TEC-CO-3710,Technology,Copiers,"Canon Wireless Fax, Laser",5301.240000000001,14,0,2597.28
CA-2015-AS10045140-42281,2015-10-04 00:00:00,AS-100451404,Aaron Smayling,Corporate,United States,USCA,Western US,FUR-TA-5066,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.288,3,0.2,-6.423300000000026
CA-2015-AH10075140-42301,2015-10-24 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,FUR-TA-5421,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,3,0.3,-127.57919999999996
CA-2015-AH10075140-42301,2015-10-24 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,FUR-FU-3936,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,210.68,2,0,50.563199999999995
CA-2015-AH10075140-42301,2015-10-24 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,FUR-TA-4943,Furniture,Tables,KI Adjustable-Height Table,240.744,4,0.3,-13.756799999999984
CA-2015-AH10075140-42301,2015-10-24 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,FUR-FU-4022,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",35,4,0,14.700000000000003
IN-2015-DK1309027-42308,2015-10-31 00:00:00,DK-1309027,Dave Kipp,Consumer,China,Asia Pacific,Eastern Asia,TEC-CO-3611,Technology,Copiers,"Brother Wireless Fax, Laser",2272.8600000000006,6,0,977.22
IN-2015-AP1072058-42284,2015-10-07 00:00:00,AP-1072058,Anne Pryor,Home Office,India,Asia Pacific,Southern Asia,TEC-PH-5269,Technology,Phones,"Motorola Smart Phone, with Caller ID",2582.16,4,0,361.44
IN-2015-CR1282058-42294,2015-10-17 00:00:00,CR-1282058,Cyra Reiten,Home Office,India,Asia Pacific,Southern Asia,TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID",3194.55,5,0,830.55
CA-2015-AH10075140-42301,2015-10-24 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,OFF-PA-6415,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",43.44,8,0,21.2856
CA-2015-AH10075140-42301,2015-10-24 00:00:00,AH-100751406,Adam Hart,Corporate,United States,USCA,Eastern US,OFF-AP-4739,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,2.22,1,0,0.6659999999999999
IN-2015-PS1876059-42288,2015-10-11 00:00:00,PS-1876059,Pamela Stobb,Consumer,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-3648,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",1029.2588999999998,9,0.07,10.818900000000014
HU-2015-EH412557-42300,2015-10-23 00:00:00,EH-412557,Eugene Hildebrand,Home Office,Hungary,Europe,Eastern Europe,OFF-ST-5702,Office Supplies,Storage,"Rogers Lockers, Single Width",1269.8999999999999,6,0,558.72
ES-2015-CS118608-42292,2015-10-15 00:00:00,CS-118608,Cari Schnelling,Consumer,Austria,Europe,Western Europe,OFF-ST-4057,Office Supplies,Storage,"Eldon File Cart, Single Width",1026.96,8,0,441.36
ID-2015-DV1304559-42304,2015-10-27 00:00:00,DV-1304559,Darrin Van Huff,Corporate,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-5786,Furniture,Bookcases,"Safco Library with Doors, Mobile",2189.0897999999997,6,0.07,541.3697999999999
IN-2015-CY1274558-42300,2015-10-23 00:00:00,CY-1274558,Craig Yedwab,Corporate,India,Asia Pacific,Southern Asia,TEC-CO-4578,Technology,Copiers,"Hewlett Fax Machine, Laser",959.76,3,0,460.62
IN-2015-MO1780066-42308,2015-10-31 00:00:00,MO-1780066,Meg O'Connel,Home Office,Japan,Asia Pacific,Eastern Asia,OFF-AP-3873,Office Supplies,Appliances,"Cuisinart Stove, Red",4306.32,8,0,1722.48
MX-2015-TB2125031-42289,2015-10-12 00:00:00,TB-2125031,Tim Brockman,Consumer,Cuba,LATAM,Caribbean,FUR-TA-3760,Furniture,Tables,"Chromcraft Computer Table, Fully Assembled",1483,5,0,741.5
IN-2015-NF1838511-42279,2015-10-02 00:00:00,NF-1838511,Natalie Fritzler,Consumer,Bangladesh,Asia Pacific,Southern Asia,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",2575.92,4,0,978.8399999999999
IN-2015-JK1609058-42288,2015-10-11 00:00:00,JK-1609058,Juliana Krohn,Consumer,India,Asia Pacific,Southern Asia,OFF-AP-4958,Office Supplies,Appliances,"KitchenAid Microwave, Silver",2488.56,8,0,348.24
US-2015-GR1456082-42302,2015-10-25 00:00:00,GR-1456082,Georgia Rosenberg,Corporate,Mexico,LATAM,Central America,FUR-TA-5062,Furniture,Tables,"Lesro Round Table, Adjustable Height",726.72,3,0.2,-18.180000000000017
IT-2015-TB2117564-42284,2015-10-07 00:00:00,TB-2117564,Thomas Boland,Corporate,Italy,Europe,Southern Europe,FUR-BO-5972,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",597.36,4,0,226.92000000000002
IN-2015-QJ1925527-42283,2015-10-06 00:00:00,QJ-1925527,Quincy Jones,Corporate,China,Asia Pacific,Eastern Asia,TEC-CO-3709,Technology,Copiers,"Canon Wireless Fax, High-Speed",3391.7400000000002,9,0,271.08
ID-2015-AR105707-42290,2015-10-13 00:00:00,AR-105707,Anemone Ratner,Consumer,Australia,Asia Pacific,Oceania,TEC-CO-4791,Technology,Copiers,"HP Wireless Fax, High-Speed",1612.8449999999998,5,0.1,394.245
SF-2015-LT7110117-42280,2015-10-03 00:00:00,LT-7110117,Liz Thompson,Consumer,South Africa,Africa,Southern Africa,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",1885.3200000000002,6,0,18.72
ES-2015-CS118608-42292,2015-10-15 00:00:00,CS-118608,Cari Schnelling,Consumer,Austria,Europe,Western Europe,TEC-CO-3587,Technology,Copiers,"Brother Copy Machine, Color",1318.65,5,0,567
ID-2015-KD1627059-42306,2015-10-29 00:00:00,KD-1627059,Karen Daniels,Consumer,Indonesia,Asia Pacific,Southeastern Asia,TEC-MA-5512,Technology,Machines,"Okidata Printer, White",886.1412,4,0.17,106.74119999999999
IN-2015-TS2150527-42286,2015-10-09 00:00:00,TS-2150527,Tony Sayre,Consumer,China,Asia Pacific,Eastern Asia,FUR-BO-3625,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",2906.3999999999996,7,0,1220.52
IN-2015-PB191057-42281,2015-10-04 00:00:00,PB-191057,Peter Bühler,Consumer,Australia,Asia Pacific,Oceania,TEC-CO-4578,Technology,Copiers,"Hewlett Fax Machine, Laser",2015.496,7,0.1,850.836
IN-2015-GK1462092-42294,2015-10-17 00:00:00,GK-1462092,Grace Kelly,Corporate,New Zealand,Asia Pacific,Oceania,TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed",2533.92,8,0,278.64
US-2015-AH10210140-42291,2015-10-14 00:00:00,AH-102101408,Alan Hwang,Consumer,United States,USCA,Southern US,OFF-ST-6315,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",348.56,8,0,104.56799999999998
MX-2015-LS1720080-42294,2015-10-17 00:00:00,LS-1720080,Luke Schmidt,Corporate,Martinique,LATAM,Caribbean,FUR-TA-3762,Furniture,Tables,"Chromcraft Computer Table, with Bottom Storage",1773.7199999999998,6,0,212.76000000000005
SF-2015-LT7110117-42280,2015-10-03 00:00:00,LT-7110117,Liz Thompson,Consumer,South Africa,Africa,Southern Africa,TEC-CO-3599,Technology,Copiers,"Brother Ink, Color",1487.4,10,0,728.7
US-2015-RB1933082-42286,2015-10-09 00:00:00,RB-1933082,Randy Bradley,Consumer,Mexico,LATAM,Central America,FUR-TA-5054,Furniture,Tables,"Lesro Computer Table, Adjustable Height",908.608,4,0.2,-193.152
ID-2015-LW172157-42293,2015-10-16 00:00:00,LW-172157,Luke Weiss,Consumer,Australia,Asia Pacific,Oceania,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1241.001,3,0.1,124.01100000000005
IN-2015-JW1607592-42301,2015-10-24 00:00:00,JW-1607592,Julia West,Consumer,New Zealand,Asia Pacific,Oceania,FUR-CH-5441,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",3719.999999999999,8,0,632.4000000000001
IN-2015-BT113957-42284,2015-10-07 00:00:00,BT-113957,Bill Tyler,Corporate,Australia,Asia Pacific,Oceania,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1241.001,3,0.1,124.01100000000005
IN-2015-MG1789027-42279,2015-10-02 00:00:00,MG-1789027,Michael Granlund,Home Office,China,Asia Pacific,Eastern Asia,FUR-BO-3641,Furniture,Bookcases,"Bush Library with Doors, Pine",1828.3500000000001,5,0,438.75
IN-2015-SP2065059-42290,2015-10-13 00:00:00,SP-2065059,Stephanie Phelps,Corporate,Indonesia,Asia Pacific,Southeastern Asia,OFF-ST-4079,Office Supplies,Storage,"Eldon Lockers, Industrial",1317.3095999999998,8,0.17,396.6696
ID-2015-PC18745102-42287,2015-10-10 00:00:00,PC-18745102,Pamela Coakley,Corporate,Philippines,Asia Pacific,Southeastern Asia,FUR-CH-4532,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",1070.6849999999997,3,0.25,-14.354999999999905
IN-2015-MG1769527-42294,2015-10-17 00:00:00,MG-1769527,Maureen Gnade,Consumer,China,Asia Pacific,Eastern Asia,FUR-BO-5948,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",3048.1500000000005,7,0,1463.07
IN-2015-TZ2144527-42300,2015-10-23 00:00:00,TZ-2144527,Tom Zandusky,Corporate,China,Asia Pacific,Eastern Asia,FUR-BO-3646,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",617.55,5,0,172.8
ID-2015-RB1943559-42301,2015-10-24 00:00:00,RB-1943559,Richard Bierner,Consumer,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-3635,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",646.4988,4,0.07,-13.981200000000001
