Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IN-2015-BF1100558-42319,2015-11-11 00:00:00,BF-1100558,Barry Franz,Home Office,India,Asia Pacific,Southern Asia,TEC-PH-5269,Technology,Phones,"Motorola Smart Phone, with Caller ID",4518.78,7,0,632.52
MX-2015-EM1420082-42328,2015-11-20 00:00:00,EM-1420082,Evan Minnotte,Home Office,Mexico,LATAM,Central America,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",1704.0000000000005,4,0,119.28
ES-2015-HG1484545-42327,2015-11-19 00:00:00,HG-1484545,Harry Greene,Consumer,France,Europe,Western Europe,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",5729.345999999999,14,0.1,63.54600000000016
IN-2015-RW195407-42327,2015-11-19 00:00:00,RW-195407,Rick Wilson,Corporate,Australia,Asia Pacific,Oceania,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",3524.472,6,0.1,861.372
CA-2015-AB10060140-42315,2015-11-07 00:00:00,AB-100601404,Adam Bellavance,Home Office,United States,USCA,Western US,FUR-TA-4622,Furniture,Tables,Hon 5100 Series Wood Tables,2036.8600000000001,7,0,366.6347999999999
CA-2015-AB10060140-42315,2015-11-07 00:00:00,AB-100601404,Adam Bellavance,Home Office,United States,USCA,Western US,FUR-CH-4613,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,449.56800000000004,2,0.2,-73.05480000000007
CA-2015-AB10060140-42315,2015-11-07 00:00:00,AB-100601404,Adam Bellavance,Home Office,United States,USCA,Western US,TEC-AC-5858,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,108.96000000000001,3,0,32.68799999999999
CA-2015-AB10060140-42314,2015-11-06 00:00:00,AB-100601402,Adam Bellavance,Home Office,United States,USCA,Central US,OFF-PA-6214,Office Supplies,Paper,Strathmore Photo Mount Cards,67.8,10,0,31.188
CA-2015-AB10060140-42314,2015-11-06 00:00:00,AB-100601402,Adam Bellavance,Home Office,United States,USCA,Central US,OFF-FA-6129,Office Supplies,Fasteners,Staples,167.94,3,0,82.2906
ES-2015-MF1825045-42330,2015-11-22 00:00:00,MF-1825045,Monica Federle,Corporate,France,Europe,Western Europe,TEC-MA-4205,Technology,Machines,"Epson Printer, Durable",2456.619,11,0.15,664.719
CA-2015-AB10060140-42314,2015-11-06 00:00:00,AB-100601402,Adam Bellavance,Home Office,United States,USCA,Central US,OFF-PA-3114,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",4.41,1,0,2.0286
IN-2015-BF1100558-42319,2015-11-11 00:00:00,BF-1100558,Barry Franz,Home Office,India,Asia Pacific,Southern Asia,OFF-AP-3577,Office Supplies,Appliances,"Breville Refrigerator, White",3622.2899999999995,7,0,1267.77
IN-2015-JM15265102-42316,2015-11-08 00:00:00,JM-15265102,Janet Molinari,Corporate,Philippines,Asia Pacific,Southeastern Asia,OFF-AP-3571,Office Supplies,Appliances,"Breville Microwave, Red",1538.7209999999998,6,0.15000000000000002,325.701
SF-2015-AB10060117-42334,2015-11-26 00:00:00,AB-10060117,Adam Bellavance,Home Office,South Africa,Africa,Southern Africa,OFF-AP-4732,Office Supplies,Appliances,"Hoover Microwave, Silver",1237.56,4,0,606.36
CA-2015-AH10075140-42335,2015-11-27 00:00:00,AH-100751408,Adam Hart,Corporate,United States,USCA,Southern US,OFF-AR-5327,Office Supplies,Art,Newell 347,12.84,3,0,3.723599999999999
ID-2015-DK1289559-42315,2015-11-07 00:00:00,DK-1289559,Dana Kaydos,Consumer,Indonesia,Asia Pacific,Southeastern Asia,OFF-AP-4964,Office Supplies,Appliances,"KitchenAid Stove, Black",3309.2598,7,0.17,318.85979999999995
MX-2015-KD1627018-42330,2015-11-22 00:00:00,KD-1627018,Karen Daniels,Consumer,Brazil,LATAM,South America,FUR-CH-4544,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",897.4800000000001,9,0,322.92
MX-2015-TM2149031-42329,2015-11-21 00:00:00,TM-2149031,Tony Molinari,Consumer,Cuba,LATAM,Caribbean,TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed",1053.6884,5,0.002,441.2884
IT-2015-TB2105545-42334,2015-11-26 00:00:00,TB-2105545,Ted Butterfield,Consumer,France,Europe,Western Europe,OFF-AP-4502,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red",3150.8189999999995,7,0.1,-35.09100000000001
ID-2015-VF21715102-42321,2015-11-13 00:00:00,VF-21715102,Vicky Freymann,Home Office,Philippines,Asia Pacific,Southeastern Asia,FUR-CH-5380,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",1725.75,5,0.25,-483.2999999999999
ES-2015-HW1493545-42335,2015-11-27 00:00:00,HW-1493545,Helen Wasserman,Corporate,France,Europe,Western Europe,FUR-BO-5798,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",676.485,5,0.1,195.28500000000005
IN-2015-AC1045058-42311,2015-11-03 00:00:00,AC-1045058,Amy Cox,Consumer,India,Asia Pacific,Southern Asia,FUR-TA-4711,Furniture,Tables,"Hon Wood Table, Fully Assembled",2664,5,0,905.7
CA-2015-AB10105140-42328,2015-11-20 00:00:00,AB-101051408,Adrian Barton,Consumer,United States,USCA,Southern US,FUR-FU-2871,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.8799999999999,6,0,213.68880000000001
ES-2015-BB1154548-42336,2015-11-28 00:00:00,BB-1154548,Brenda Bowman,Corporate,Germany,Europe,Western Europe,FUR-BO-5788,Furniture,Bookcases,"Safco Library with Doors, Traditional",2455.677,7,0.1,-191.16300000000007
MX-2015-LS1724582-42319,2015-11-11 00:00:00,LS-1724582,Lynn Smith,Consumer,Mexico,LATAM,Central America,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",849.8000000000002,2,0,195.44
IN-2015-CM124457-42315,2015-11-07 00:00:00,CM-124457,Chuck Magee,Consumer,Australia,Asia Pacific,Oceania,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",2841.6599999999994,6,0,852.4799999999999
IN-2015-MP18175144-42328,2015-11-20 00:00:00,MP-18175144,Mike Pelletier,Home Office,Vietnam,Asia Pacific,Southeastern Asia,OFF-AP-4961,Office Supplies,Appliances,"KitchenAid Refrigerator, Red",2190.9509999999996,5,0.17,316.7010000000001
CA-2015-AB10105140-42328,2015-11-20 00:00:00,AB-101051408,Adrian Barton,Consumer,United States,USCA,Southern US,OFF-BI-4346,Office Supplies,Binders,GBC Imprintable Covers,21.96,2,0,10.7604
MX-2015-ML1741031-42320,2015-11-12 00:00:00,ML-1741031,Maris LaWare,Consumer,Cuba,LATAM,Caribbean,FUR-BO-3892,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",1916.8799999999999,7,0,939.26
CA-2015-AH10120140-42309,2015-11-01 00:00:00,AH-101201402,Adrian Hane,Home Office,United States,USCA,Central US,OFF-AR-5331,Office Supplies,Art,Newell 350,5.248,2,0.2,0.5903999999999991
ES-2015-PC1900048-42337,2015-11-29 00:00:00,PC-1900048,Pauline Chand,Home Office,Germany,Europe,Western Europe,TEC-CO-6011,Technology,Copiers,"Sharp Wireless Fax, High-Speed",2478.84,7,0,272.58
CA-2015-AS10135140-42328,2015-11-20 00:00:00,AS-101351406,Adrian Shami,Home Office,United States,USCA,Eastern US,OFF-BI-3307,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,41.28,6,0.2,13.931999999999999
CA-2015-AS10135140-42328,2015-11-20 00:00:00,AS-101351406,Adrian Shami,Home Office,United States,USCA,Eastern US,OFF-PA-6448,Office Supplies,Paper,Xerox 1898,13.36,2,0,6.4128
CA-2015-AB10150140-42328,2015-11-20 00:00:00,AB-101501402,Aimee Bixby,Consumer,United States,USCA,Central US,OFF-AR-3551,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",99.13600000000001,4,0.2,8.674399999999995
CA-2015-AB10150140-42328,2015-11-20 00:00:00,AB-101501402,Aimee Bixby,Consumer,United States,USCA,Central US,OFF-PA-6453,Office Supplies,Paper,Xerox 1901,16.896,4,0.2,5.279999999999999
CA-2015-AB10150140-42328,2015-11-20 00:00:00,AB-101501402,Aimee Bixby,Consumer,United States,USCA,Central US,OFF-SU-2971,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,6.672000000000001,1,0.2,0.5004
CA-2015-AB10150140-42328,2015-11-20 00:00:00,AB-101501402,Aimee Bixby,Consumer,United States,USCA,Central US,FUR-FU-6223,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,15.991999999999999,2,0.6,-13.992999999999999
IN-2015-KN164507-42332,2015-11-24 00:00:00,KN-164507,Kean Nguyen,Corporate,Australia,Asia Pacific,Oceania,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",2863.35,5,0.1,858.9
ES-2015-CK1276045-42312,2015-11-04 00:00:00,CK-1276045,Cyma Kinney,Corporate,France,Europe,Western Europe,TEC-MA-6140,Technology,Machines,"StarTech Inkjet, Durable",765.4590000000002,3,0.15,-36.08100000000002
IN-2015-FC142457-42326,2015-11-18 00:00:00,FC-142457,Frank Carlisle,Home Office,Australia,Asia Pacific,Oceania,TEC-PH-3152,Technology,Phones,"Apple Speaker Phone, VoIP",1221.5610000000001,11,0.1,325.611
SA-2015-MC7575110-42326,2015-11-18 00:00:00,MC-7575110,Matt Collins,Consumer,Saudi Arabia,Asia Pacific,Western Asia,TEC-MA-5548,Technology,Machines,"Panasonic Inkjet, White",621.0000000000001,2,0,180.06
MX-2015-LC1688582-42329,2015-11-21 00:00:00,LC-1688582,Lena Creighton,Consumer,Mexico,LATAM,Central America,FUR-TA-3777,Furniture,Tables,"Chromcraft Wood Table, Adjustable Height",775.536,3,0.2,213.2159999999999
ID-2015-ST205307-42336,2015-11-28 00:00:00,ST-205307,Shui Tom,Consumer,Australia,Asia Pacific,Oceania,FUR-TA-3766,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",1832.6069999999997,3,0.3,-445.113
CA-2015-AD10180140-42322,2015-11-14 00:00:00,AD-101801406,Alan Dominguez,Home Office,United States,USCA,Eastern US,TEC-AC-4939,Technology,Accessories,KeyTronic 6101 Series - Keyboard - Black,163.96,4,0,70.50280000000001
