Order ID,Order Date,Customer ID,Customer Name,Segment,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
TZ-2015-RH9555129-42343,2015-12-05 00:00:00,RH-9555129,Ritsa Hightower,Consumer,Tanzania,Africa,Eastern Africa,OFF-AP-4967,Office Supplies,Appliances,"KitchenAid Stove, White",3409.74,6,0,818.28
MX-2015-JH15820141-42356,2015-12-18 00:00:00,JH-15820141,John Huston,Consumer,Uruguay,LATAM,South America,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",3473.1399999999994,11,0,868.1200000000001
CA-2015-AH10030140-42357,2015-12-19 00:00:00,AH-100301406,Aaron Hawkins,Corporate,United States,USCA,Eastern US,OFF-AR-3276,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,18.704,7,0.2,2.3379999999999983
IT-2015-DK13090120-42345,2015-12-07 00:00:00,DK-13090120,Dave Kipp,Consumer,Spain,Europe,Southern Europe,FUR-BO-5760,Furniture,Bookcases,"Safco Classic Bookcase, Metal",2188.05,5,0,1050.15
IN-2015-CS1184558-42354,2015-12-16 00:00:00,CS-1184558,Cari Sayre,Corporate,India,Asia Pacific,Southern Asia,FUR-TA-3779,Furniture,Tables,"Chromcraft Wood Table, Rectangular",1920.3600000000001,4,0,652.92
IN-2015-DW1354078-42357,2015-12-19 00:00:00,DW-1354078,Don Weiss,Consumer,Malaysia,Asia Pacific,Southeastern Asia,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",1954.17,3,0,312.65999999999997
IN-2015-MP181757-42347,2015-12-09 00:00:00,MP-181757,Mike Pelletier,Home Office,Australia,Asia Pacific,Oceania,TEC-PH-3149,Technology,Phones,"Apple Smart Phone, with Caller ID",1725.4620000000004,3,0.1,747.6120000000001
IN-2015-JF1519021-42341,2015-12-03 00:00:00,JF-1519021,Jamie Frazer,Consumer,Cambodia,Asia Pacific,Southeastern Asia,FUR-TA-4706,Furniture,Tables,"Hon Training Table, Fully Assembled",2673.36,8,0,1069.1999999999998
IN-2015-TA213857-42351,2015-12-13 00:00:00,TA-213857,Tom Ashbrook,Home Office,Australia,Asia Pacific,Oceania,OFF-AP-4508,Office Supplies,Appliances,"Hamilton Beach Stove, White",4864.32,10,0.1,162.12
MX-2015-MY1829593-42355,2015-12-17 00:00:00,MY-1829593,Muhammed Yedwab,Corporate,Nicaragua,LATAM,Central America,OFF-AP-4505,Office Supplies,Appliances,"Hamilton Beach Stove, Black",1805.9,5,0,126.40000000000002
SF-2015-MV8190117-42362,2015-12-24 00:00:00,MV-8190117,Mike Vittorini,Consumer,South Africa,Africa,Southern Africa,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",2550,4,0,714
US-2015-AS10090140-42341,2015-12-03 00:00:00,AS-100901408,Adam Shillingsburg,Consumer,United States,USCA,Southern US,OFF-AR-5285,Office Supplies,Art,Newell 309,34.650000000000006,3,0,10.395
MX-2015-SC2069539-42360,2015-12-22 00:00:00,SC-2069539,Steve Chapman,Corporate,El Salvador,LATAM,Central America,FUR-CH-4530,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",1269.6,4,0,355.44
IN-2015-DB1306027-42353,2015-12-15 00:00:00,DB-1306027,Dave Brooks,Consumer,China,Asia Pacific,Eastern Asia,TEC-PH-5263,Technology,Phones,"Motorola Signal Booster, Cordless",2043.7200000000003,14,0,756
US-2015-BN1147082-42358,2015-12-20 00:00:00,BN-1147082,Brad Norvell,Corporate,Mexico,LATAM,Central America,OFF-AP-3872,Office Supplies,Appliances,"Cuisinart Stove, Black",2509.3600000000006,7,0,426.58000000000004
ES-2015-CD1192045-42367,2015-12-29 00:00:00,CD-1192045,Carlos Daly,Consumer,France,Europe,Western Europe,FUR-TA-5064,Furniture,Tables,"Lesro Round Table, Rectangular",1461.1350000000002,5,0.35,202.18499999999995
ES-2015-GZ1447064-42362,2015-12-24 00:00:00,GZ-1447064,Gary Zandusky,Consumer,Italy,Europe,Southern Europe,FUR-BO-4862,Furniture,Bookcases,"Ikea Library with Doors, Pine",2553.1800000000003,7,0,842.5199999999999
PL-2015-CB2025103-42347,2015-12-09 00:00:00,CB-2025103,Cassandra Brandow,Consumer,Poland,Europe,Eastern Europe,TEC-CO-5997,Technology,Copiers,"Sharp Fax Machine, Color",1188.36,4,0,95.03999999999999
IN-2015-BT1168066-42351,2015-12-13 00:00:00,BT-1168066,Brian Thompson,Consumer,Japan,Asia Pacific,Eastern Asia,OFF-AP-4508,Office Supplies,Appliances,"Hamilton Beach Stove, White",3242.88,6,0,421.56000000000006
MX-2015-MY1829593-42355,2015-12-17 00:00:00,MY-1829593,Muhammed Yedwab,Corporate,Nicaragua,LATAM,Central America,FUR-BO-3903,Furniture,Bookcases,"Dania Library with Doors, Pine",1212.5,5,0,606.2
MX-2015-MC1763536-42340,2015-12-02 00:00:00,MC-1763536,Matthew Clasen,Corporate,Dominican Republic,LATAM,Caribbean,TEC-AC-5894,Technology,Accessories,"SanDisk Router, Bluetooth",1914.0799999999995,14,0.2,669.7600000000002
QA-2015-LM7065105-42362,2015-12-24 00:00:00,LM-7065105,Liz MacKendrick,Consumer,Qatar,Asia Pacific,Western Asia,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",2575.92,4,0,772.6800000000001
ID-2015-AH100757-42367,2015-12-29 00:00:00,AH-100757,Adam Hart,Corporate,Australia,Asia Pacific,Oceania,OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red",1534.8690000000001,3,0.1,-102.41100000000003
MX-2015-EB1397518-42369,2015-12-31 00:00:00,EB-1397518,Erica Bern,Corporate,Brazil,LATAM,South America,TEC-CO-3707,Technology,Copiers,"Canon Wireless Fax, Color",1264.466,5,0.002,301.466
IN-2015-ML1739559-42369,2015-12-31 00:00:00,ML-1739559,Marina Lichtenstein,Corporate,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-5787,Furniture,Bookcases,"Safco Library with Doors, Pine",1091.2805999999998,3,0.07,46.92059999999999
ES-2015-HM14860125-42368,2015-12-30 00:00:00,HM-14860125,Harry Marie,Corporate,Switzerland,Europe,Western Europe,TEC-CO-3685,Technology,Copiers,"Canon Fax and Copier, Laser",1913.3999999999996,10,0,899.0999999999999
IN-2015-PS189707-42342,2015-12-04 00:00:00,PS-189707,Paul Stevenson,Home Office,Australia,Asia Pacific,Oceania,FUR-TA-4713,Furniture,Tables,"Hon Wood Table, with Bottom Storage",2125.3199999999997,4,0,148.68
IN-2015-MC1742559-42346,2015-12-08 00:00:00,MC-1742559,Mark Cousins,Corporate,Indonesia,Asia Pacific,Southeastern Asia,TEC-PH-5842,Technology,Phones,"Samsung Smart Phone, with Caller ID",3696.0315,7,0.17,756.8715
CA-2015-AB10165140-42344,2015-12-06 00:00:00,AB-101651404,Alan Barnes,Consumer,United States,USCA,Western US,OFF-BI-4378,Office Supplies,Binders,GBC Wire Binding Combs,24.816000000000003,3,0.2,8.375399999999999
CA-2015-AB10165140-42344,2015-12-06 00:00:00,AB-101651404,Alan Barnes,Consumer,United States,USCA,Western US,OFF-BI-6634,Office Supplies,Binders,Zipper Ring Binder Pockets,14.976000000000003,6,0.2,5.428799999999998
IV-2015-SV1078529-42348,2015-12-10 00:00:00,SV-1078529,Stewart Visinsky,Consumer,Cote d'Ivoire,Africa,Western Africa,TEC-CO-3602,Technology,Copiers,"Brother Ink, Laser",1767.6000000000001,12,0,0
ID-2015-TC21145102-42358,2015-12-20 00:00:00,TC-21145102,Theresa Coyne,Corporate,Philippines,Asia Pacific,Southeastern Asia,FUR-CH-5457,Furniture,Chairs,"Office Star Swivel Stool, Set of Two",1189.2824999999998,9,0.25,-396.4275
CA-2015-AD10180140-42340,2015-12-02 00:00:00,AD-101801406,Alan Dominguez,Home Office,United States,USCA,Eastern US,FUR-CH-4397,Furniture,Chairs,Global Comet Stacking Armless Chair,897.1500000000001,3,0,251.20200000000003
CA-2015-AD10180140-42340,2015-12-02 00:00:00,AD-101801406,Alan Dominguez,Home Office,United States,USCA,Eastern US,OFF-PA-6577,Office Supplies,Paper,Xerox 214,19.44,3,0,9.3312
US-2015-AG1052582-42355,2015-12-17 00:00:00,AG-1052582,Andy Gerbode,Corporate,Mexico,LATAM,Central America,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1697.5839999999996,7,0.2,-63.75599999999986
US-2015-SC2057582-42342,2015-12-04 00:00:00,SC-2057582,Sonia Cooley,Consumer,Mexico,LATAM,Central America,FUR-TA-4712,Furniture,Tables,"Hon Wood Table, Rectangular",1410.3999999999999,5,0.2,-88.19999999999996
CA-2015-AH10210140-42363,2015-12-25 00:00:00,AH-102101404,Alan Hwang,Consumer,United States,USCA,Western US,OFF-ST-5422,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,1003.6200000000001,6,0,0
QA-2015-LM7065105-42362,2015-12-24 00:00:00,LM-7065105,Liz MacKendrick,Consumer,Qatar,Asia Pacific,Western Asia,TEC-CO-3681,Technology,Copiers,"Canon Copy Machine, Laser",1572.8400000000001,6,0,141.48000000000002
CA-2015-AS10225140-42347,2015-12-09 00:00:00,AS-102251404,Alan Schoenberger,Corporate,United States,USCA,Western US,OFF-AP-3371,Office Supplies,Appliances,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,69.48,1,0,20.843999999999994
ID-2015-RP19855130-42348,2015-12-10 00:00:00,RP-19855130,Roy Phan,Corporate,Thailand,Asia Pacific,Southeastern Asia,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",1587.0014999999999,3,0.17,-76.55849999999998
US-2015-TB215205-42339,2015-12-01 00:00:00,TB-215205,Tracy Blumstein,Consumer,Argentina,LATAM,South America,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",947.2199999999997,5,0.4,-236.88000000000002
MX-2015-CC1247518-42353,2015-12-15 00:00:00,CC-1247518,Cindy Chapman,Consumer,Brazil,LATAM,South America,TEC-PH-3151,Technology,Phones,"Apple Speaker Phone, Full Size",498.36,6,0,9.96
IN-2015-KM163757-42342,2015-12-04 00:00:00,KM-163757,Katherine Murray,Home Office,Australia,Asia Pacific,Oceania,TEC-MA-5019,Technology,Machines,"Konica Receipt Printer, Red",859.6800000000001,8,0.1,28.559999999999988
IN-2015-JF1519021-42341,2015-12-03 00:00:00,JF-1519021,Jamie Frazer,Consumer,Cambodia,Asia Pacific,Southeastern Asia,FUR-BO-5788,Furniture,Bookcases,"Safco Library with Doors, Traditional",1559.16,4,0,405.36
CG-2015-GT475533-42349,2015-12-11 00:00:00,GT-475533,Guy Thornton,Consumer,Democratic Republic of the Congo,Africa,Central Africa,FUR-BO-5785,Furniture,Bookcases,"Safco Library with Doors, Metal",778.5,2,0,132.3
ES-2015-AW1084048-42353,2015-12-15 00:00:00,AW-1084048,Anthony Witt,Consumer,Germany,Europe,Western Europe,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",1272.1200000000001,2,0,546.96
MX-2015-EM1414039-42345,2015-12-07 00:00:00,EM-1414039,Eugene Moren,Home Office,El Salvador,LATAM,Central America,TEC-CO-3678,Technology,Copiers,"Canon Copy Machine, Color",1227.57992,7,0.002,526.3199200000001
ML-2015-BO142579-42368,2015-12-30 00:00:00,BO-142579,Bobby Odegard,Consumer,Mali,Africa,Western Africa,FUR-CH-4564,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two",1094.22,6,0,317.15999999999997
IN-2015-SP2065059-42342,2015-12-04 00:00:00,SP-2065059,Stephanie Phelps,Corporate,Indonesia,Asia Pacific,Southeastern Asia,TEC-CO-4591,Technology,Copiers,"Hewlett Wireless Fax, Digital",2472.6933,7,0.07,903.9932999999999
ES-2015-MP1747048-42364,2015-12-26 00:00:00,MP-1747048,Mark Packer,Home Office,Germany,Europe,Western Europe,TEC-PH-3805,Technology,Phones,"Cisco Smart Phone, Cordless",1954.44,3,0,781.74
ES-2015-CD1192045-42367,2015-12-29 00:00:00,CD-1192045,Carlos Daly,Consumer,France,Europe,Western Europe,OFF-AP-4733,Office Supplies,Appliances,"Hoover Microwave, White",1104.408,4,0.1,208.608
IN-2015-CS1184558-42354,2015-12-16 00:00:00,CS-1184558,Cari Sayre,Corporate,India,Asia Pacific,Southern Asia,FUR-BO-3647,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",630.15,5,0,31.500000000000004
IR-2015-TC1114560-42357,2015-12-19 00:00:00,TC-1114560,Theresa Coyne,Corporate,Iran,Asia Pacific,Southern Asia,TEC-CO-4575,Technology,Copiers,"Hewlett Fax Machine, Color",1285.4399999999998,4,0,449.88
CA-2015-AS10285140-42350,2015-12-12 00:00:00,AS-102851402,Alejandro Savely,Corporate,United States,USCA,Central US,TEC-AC-4142,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,116.312,7,0.2,23.262400000000003
MX-2015-MG1814539-42361,2015-12-23 00:00:00,MG-1814539,Mike Gockenbach,Consumer,El Salvador,LATAM,Central America,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",1272.6,3,0,496.25999999999993
ES-2015-NF18385139-42349,2015-12-11 00:00:00,NF-18385139,Natalie Fritzler,Consumer,United Kingdom,Europe,Northern Europe,TEC-CO-4590,Technology,Copiers,"Hewlett Wireless Fax, Color",1144.8899999999999,6,0.5,-686.9699999999998
ES-2015-AB1016545-42351,2015-12-13 00:00:00,AB-1016545,Alan Barnes,Consumer,France,Europe,Western Europe,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",1622.3355000000001,3,0.15,248.03549999999996
ES-2015-AT10435120-42357,2015-12-19 00:00:00,AT-10435120,Alyssa Tate,Home Office,Spain,Europe,Southern Europe,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",4627.3679999999995,8,0.1,1439.4480000000003
MX-2015-MM1726051-42365,2015-12-27 00:00:00,MM-1726051,Magdelene Morse,Consumer,Guatemala,LATAM,Central America,FUR-CH-4562,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",829.2199999999999,7,0,49.7
IN-2015-SV2093559-42353,2015-12-15 00:00:00,SV-2093559,Susan Vittorini,Consumer,Indonesia,Asia Pacific,Southeastern Asia,FUR-BO-5785,Furniture,Bookcases,"Safco Library with Doors, Metal",2534.0175,7,0.07,136.2375
IR-2015-CC237060-42363,2015-12-25 00:00:00,CC-237060,Christopher Conant,Consumer,Iran,Asia Pacific,Southern Asia,FUR-BO-5761,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",1762.6799999999998,4,0,669.72
IN-2015-JC15775102-42362,2015-12-24 00:00:00,JC-15775102,John Castell,Consumer,Philippines,Asia Pacific,Southeastern Asia,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",2386.125,5,0.25,381.67499999999995
CA-2015-AG10330140-42361,2015-12-23 00:00:00,AG-103301404,Alex Grayson,Consumer,United States,USCA,Western US,FUR-TA-5061,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",182.55,2,0.5,-135.087
